galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle[, component seperation distance]
VELA01, 220, 1.796, cam0, F160W, disk, , 301.6210, 299.7872, , 1.1104, 19.3239, 22.7866, 0.7202, 71.9695, 2.47617741893
*VELA01, 220, 1.796, cam0, F160W, bulge, , 300.9355, 297.4078, *, 0.1737, 19.8919, 13.9669, 0.6790, -8.2791, 2.47617741893
*VELA01, 220, 1.796, cam1, F160W, bulge, *, 300.6234, 302.2833, , 1.2646, 19.4382, 17.2314, 0.8134, -48.3066, 32.0580675221
*VELA01, 220, 1.796, cam1, F160W, disk, *, 282.5420, 275.8110, , 1.8410, 20.8305, 20.7951, 0.8394, -28.0173, 32.0580675221
*VELA01, 220, 1.796, cam5, F160W, bulge, *, 298.8959, 299.2736, , 1.3652, 19.1040, 17.3468, 0.9285, 19.7166, 11.6322634848
*VELA01, 220, 1.796, cam5, F160W, disk, *, 310.1672, 302.1489, , 0.9283, 20.9539, 4.9210, 0.6127, 11.1081, 11.6322634848
VELA01, 220, 1.796, cam6, F160W, disk, , 299.1342, 301.1836, , 1.0732, 19.4794, 25.3317, 0.6747, -72.4321, 1.04232127485
*VELA01, 220, 1.796, cam6, F160W, bulge, , 298.7422, 300.2178, *, 0.2658, 19.7528, 12.1484, 0.7266, 48.6704, 1.04232127485
*VELA01, 220, 1.796, cam7, F160W, bulge, *, 299.1225, 299.2939, , 1.4403, 19.2287, 17.9842, 0.9453, 82.1030, 11.462670281
*VELA01, 220, 1.796, cam7, F160W, disk, *, 310.2426, 302.0753, , 1.3399, 20.9972, 3.5580, 0.7261, -83.2222, 11.462670281
*VELA01, 220, 1.796, cam8, F160W, bulge, *, 310.0682, 302.4849, , 2.8943, 20.1693, 8.8301, 0.9515, 80.2219, 13.5340748668
*VELA01, 220, 1.796, cam8, F160W, disk, *, 297.0587, 298.7534, , 1.5526, 19.4789, 16.0610, 0.9544, 31.8066, 13.5340748668
*VELA01, 230, 1.919, cam0, F160W, bulge, *, 299.8380, 310.5139, , 0.5445, 20.2343, 16.2206, 0.5813, 83.6809, 16.5301255803
*VELA01, 230, 1.919, cam0, F160W, disk, *, 301.3383, 294.0520, , 1.2555, 19.0869, 19.2163, 0.8551, -88.7948, 16.5301255803
*VELA01, 230, 1.919, cam1, F160W, bulge, *, 299.5114, 299.7606, , 0.5276, 19.6694, 21.9044, 0.4738, -68.4696, 13.7311640796
*VELA01, 230, 1.919, cam1, F160W, disk, *, 288.9497, 290.9859, , 0.7262, 20.6839, 53.4521, 0.5978, -33.2736, 13.7311640796
*VELA01, 230, 1.919, cam5, F160W, disk, *, 297.5325, 301.7595, , 0.6645, 19.7732, 19.6720, 0.6818, -77.2025, 7.53472969256
*VELA01, 230, 1.919, cam5, F160W, bulge, *, 303.1760, 296.7672, , 1.6616, 19.4773, 19.6240, 0.8458, 50.8515, 7.53472969256
*VELA01, 230, 1.919, cam6, F160W, bulge, *, 301.1397, 303.4668, *, 0.3522, 19.8788, 18.5407, 0.9536, -43.4578, 5.62005508959
*VELA01, 230, 1.919, cam6, F160W, disk, *, 297.3212, 299.3432, , 1.2914, 19.3227, 19.7199, 0.8720, -43.9935, 5.62005508959
*VELA01, 230, 1.919, cam7, F160W, bulge, *, 301.2250, 299.1047, , 0.8863, 19.4051, 19.5910, 0.5400, 89.2369, 6.38621677834
*VELA01, 230, 1.919, cam7, F160W, disk, *, 294.9005, 299.9904, , 1.3542, 20.4796, 34.2567, 0.7570, 40.5359, 6.38621677834
*VELA01, 230, 1.919, cam8, F160W, bulge, *, 301.1384, 299.2923, , 0.9061, 19.3429, 18.9927, 0.5692, 88.9505, 5.079349165
*VELA01, 230, 1.919, cam8, F160W, disk, *, 296.3371, 297.6348, , 1.1767, 20.4982, 36.3500, 0.7581, 38.6723, 5.079349165
*VELA01, 240, 2.044, cam0, F160W, bulge, *, 301.5130, 296.8128, , 1.7029, 19.3139, 12.9137, 0.8272, -77.9517, 11.9612795244
*VELA01, 240, 2.044, cam0, F160W, disk, *, 300.4405, 308.7259, , 0.8458, 19.4059, 24.5049, 0.8853, 64.4405, 11.9612795244
*VELA01, 240, 2.044, cam1, F160W, disk, *, 310.2816, 302.9027, , 1.1421, 20.0596, 34.2523, 0.5781, -43.2959, 10.4073499629
*VELA01, 240, 2.044, cam1, F160W, bulge, *, 299.8806, 302.5392, , 1.1019, 20.0483, 17.9595, 0.3403, -79.0313, 10.4073499629
*VELA01, 240, 2.044, cam5, F160W, bulge, *, 303.0450, 297.5033, , 1.4947, 19.8225, 12.4981, 0.4662, -76.7140, 9.19684072549
*VELA01, 240, 2.044, cam5, F160W, disk, *, 297.1912, 304.5966, , 1.3050, 19.3080, 23.7652, 0.9139, 65.9917, 9.19684072549
*VELA01, 240, 2.044, cam6, F160W, bulge, *, 297.2175, 301.0806, , 1.5781, 18.8737, 16.2083, 0.8256, -43.3437, 23.8282530543
*VELA01, 240, 2.044, cam6, F160W, disk, *, 318.7594, 290.8957, *, 0.2496, 20.2585, 24.4736, 0.6521, -32.7735, 23.8282530543
*VELA01, 240, 2.044, cam7, F160W, disk, *, 299.9923, 307.2294, , 0.9294, 19.5582, 27.5429, 0.8534, -83.2162, 8.83360557474
*VELA01, 240, 2.044, cam7, F160W, bulge, *, 301.7704, 298.5766, , 0.7001, 19.9940, 18.5438, 0.3107, 89.4981, 8.83360557474
*VELA01, 240, 2.044, cam8, F160W, disk, *, 298.5681, 307.2650, , 1.0014, 19.5518, 27.1611, 0.8739, -79.3428, 10.1846357819
*VELA01, 240, 2.044, cam8, F160W, bulge, *, 303.2781, 298.2349, , 0.9382, 19.9138, 16.7310, 0.3464, -88.5477, 10.1846357819
VELA01, 250, 2.171, cam0, F160W, bulge, , 299.0570, 298.6403, , 0.9752, 18.9741, 12.0296, 0.8925, 43.2874, 3.38351118514
VELA01, 250, 2.171, cam0, F160W, disk, , 296.2805, 300.5740, , 0.5014, 19.1814, 42.5662, 0.7874, 15.1331, 3.38351118514
*VELA01, 250, 2.171, cam1, F160W, bulge, , 297.1314, 300.8304, *, 0.4794, 19.7945, 18.0912, 0.3682, 86.2771, 4.26041071494
VELA01, 250, 2.171, cam1, F160W, disk, , 300.7625, 298.6019, , 0.5697, 19.3768, 46.4732, 0.3922, -66.8124, 4.26041071494
VELA01, 250, 2.171, cam5, F160W, bulge, , 299.7594, 298.1492, , 1.2022, 18.9310, 16.0112, 0.5899, 74.1214, 3.41869749612
