galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
VELA02, 220, 1.796, cam0, F160W, disk, , 299.8505, 302.1435, , 0.9927, 20.3435, 33.1729, 0.8880, -15.0740, 3.43452659038
*VELA02, 220, 1.796, cam0, F160W, bulge, , 301.7466, 299.2798, *, 0.2921, 21.5329, 17.4913, 0.4818, 55.8020, 3.43452659038
VELA02, 220, 1.796, cam1, F160W, bulge, , 300.1208, 300.3006, , 0.7833, 21.1888, 21.2229, 0.3639, 74.2944, 4.96006841989
VELA02, 220, 1.796, cam1, F160W, disk, , 295.4040, 301.8349, , 0.7862, 20.8380, 43.1348, 0.6996, -70.5948, 4.96006841989
VELA02, 220, 1.796, cam5, F160W, disk, , 298.7502, 300.8630, , 0.9871, 20.3612, 32.4257, 0.8922, -30.4385, 4.72906932282
*VELA02, 220, 1.796, cam5, F160W, bulge, , 302.9987, 298.7859, *, 0.2204, 21.5563, 19.0139, 0.4240, 65.6867, 4.72906932282
*VELA02, 220, 1.796, cam6, F160W, disk, *, 294.5618, 303.6027, , 1.2504, 20.9392, 33.3727, 0.7643, -45.8316, 12.4687487175
*VELA02, 220, 1.796, cam6, F160W, bulge, *, 305.2155, 297.1244, , 1.0093, 21.0695, 23.0669, 0.4512, 85.0298, 12.4687487175
VELA02, 220, 1.796, cam7, F160W, disk, , 299.4577, 299.8675, , 1.1384, 20.3403, 31.8766, 0.8952, 66.8501, 3.23302930701
*VELA02, 220, 1.796, cam7, F160W, bulge, , 302.0788, 301.7602, *, 0.2743, 21.6369, 16.4011, 0.5267, -46.5135, 3.23302930701
VELA02, 220, 1.796, cam8, F160W, disk, , 298.9390, 300.1854, , 1.0319, 20.3712, 32.7094, 0.9069, 55.9480, 3.77867387452
*VELA02, 220, 1.796, cam8, F160W, bulge, , 302.5435, 301.3194, *, 0.2965, 21.5331, 16.5004, 0.5250, -60.5204, 3.77867387452
VELA02, 230, 1.919, cam0, F160W, bulge, , 295.8210, 301.8713, , 0.5938, 21.4250, 22.2170, 0.4744, 41.0301, 8.26670289596
VELA02, 230, 1.919, cam0, F160W, disk, , 303.4784, 304.9862, , 0.9290, 19.9882, 32.4431, 0.9322, -86.4483, 8.26670289596
*VELA02, 230, 1.919, cam1, F160W, bulge, , 295.0630, 299.7359, *, 0.4554, 20.7928, 30.5376, 0.3894, 84.9540, 5.0565544959
VELA02, 230, 1.919, cam1, F160W, disk, , 299.4306, 302.2840, , 0.6144, 21.0902, 49.5595, 0.7156, -65.1333, 5.0565544959
VELA02, 230, 1.919, cam5, F160W, bulge, , 301.5708, 304.6925, , 0.8821, 19.7973, 30.6423, 0.9327, 57.2341, 7.97313617656
VELA02, 230, 1.919, cam5, F160W, disk, , 299.0773, 297.1193, , 0.6870, 22.3369, 7.3380, 0.8124, 85.6695, 7.97313617656
