galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
VELA01, 300, 2.842, cam0, F160W, disk, , 297.8712, 298.4103, , 0.5961, 19.1537, 29.1109, 0.9743, 74.3842, 5.36096960353
VELA01, 300, 2.842, cam0, F160W, bulge, , 302.4734, 301.1598, , 2.1895, 19.7831, 14.2687, 0.9129, 22.2017, 5.36096960353
VELA01, 300, 2.842, cam1, F160W, disk, , 296.1559, 299.9399, , 0.6123, 20.1900, 39.6036, 0.5220, 86.9211, 5.01450186659
VELA01, 300, 2.842, cam1, F160W, bulge, , 301.1695, 299.8448, , 0.5287, 19.7356, 27.0761, 0.2577, 89.4364, 5.01450186659
*VELA01, 300, 2.842, cam5, F160W, bulge, *, 302.0772, 300.0633, , 0.7179, 19.1272, 27.4822, 0.6384, 86.1345, 20.0795713064
*VELA01, 300, 2.842, cam5, F160W, disk, *, 282.7240, 294.7114, , 1.4868, 21.0627, 30.8682, 0.7774, 48.7758, 20.0795713064
VELA01, 300, 2.842, cam6, F160W, bulge, , 300.4539, 298.2912, , 2.3991, 20.0462, 14.7622, 0.7486, -80.0810, 5.0181081465
VELA01, 300, 2.842, cam6, F160W, disk, , 299.5015, 303.2181, , 0.6884, 19.0433, 27.1807, 0.9832, -60.2216, 5.0181081465
VELA01, 300, 2.842, cam7, F160W, bulge, , 298.5899, 300.5021, , 0.8610, 19.3842, 26.8414, 0.3400, 89.4058, 2.62215410112
VELA01, 300, 2.842, cam7, F160W, disk, , 299.7072, 298.1299, , 1.1391, 20.8239, 36.4976, 0.7045, 73.9808, 2.62215410112
VELA01, 300, 2.842, cam8, F160W, bulge, , 299.0153, 300.7245, , 0.9281, 19.4669, 25.6546, 0.3472, 88.8098, 2.59792897901
VELA01, 300, 2.842, cam8, F160W, disk, , 299.7506, 298.2328, , 0.7525, 20.4929, 35.1906, 0.6848, 82.2710, 2.59792897901
VELA01, 310, 2.982, cam0, F160W, bulge, , 303.4802, 304.4726, , 0.5985, 18.5813, 29.1451, 0.9655, -18.4042, 4.25774806441
VELA01, 310, 2.982, cam0, F160W, disk, , 301.6605, 300.6233, , 0.6025, 21.1233, 4.2379, 0.8872, -8.4385, 4.25774806441
VELA01, 310, 2.982, cam1, F160W, disk, , 309.9514, 296.6948, , 0.6762, 19.7303, 38.1214, 0.5475, 76.3723, 9.05633670421
VELA01, 310, 2.982, cam1, F160W, bulge, , 301.8629, 300.7683, , 0.4481, 19.5525, 25.5040, 0.2788, -86.0128, 9.05633670421
VELA01, 310, 2.982, cam5, F160W, disk, , 301.3953, 302.5522, , 0.3104, 19.6820, 32.8665, 0.3533, 88.3063, 3.99054057491
VELA01, 310, 2.982, cam5, F160W, bulge, , 298.7225, 299.5890, , 1.1551, 19.3652, 27.3855, 0.7468, 74.5171, 3.99054057491
VELA01, 310, 2.982, cam6, F160W, disk, , 308.6388, 296.4126, , 0.2161, 19.3316, 35.8831, 0.7889, 74.9171, 8.39320676857
VELA01, 310, 2.982, cam6, F160W, bulge, , 301.1207, 300.1441, , 1.5614, 19.1406, 21.0138, 0.9068, -52.7528, 8.39320676857
VELA01, 310, 2.982, cam7, F160W, disk, , 313.4516, 281.2962, , 0.5690, 28.6162, 0.9396, 0.0108, -58.5720, 0.605349361939
VELA01, 310, 2.982, cam7, F160W, bulge, , 312.8612, 281.1625, , 6.5720, 29.0092, 0.2916, 0.0454, -29.0116, 0.605349361939
VELA01, 310, 2.982, cam8, F160W, bulge, , 303.2475, 301.0152, , 0.3326, 19.6580, 27.2308, 0.2738, 83.5423, 7.26670393645
VELA01, 310, 2.982, cam8, F160W, disk, , 298.7394, 295.3159, , 0.4690, 19.6118, 38.3586, 0.6225, -87.6321, 7.26670393645
VELA01, 320, 3.124, cam0, F160W, disk, , 297.7754, 302.8860, , 0.5699, 18.7838, 30.8552, 0.8741, 46.5432, 3.15372789093
VELA01, 320, 3.124, cam0, F160W, bulge, , 300.1574, 300.8191, , 2.2620, 19.8708, 13.2394, 0.8600, -27.1746, 3.15372789093
*VELA01, 320, 3.124, cam1, F160W, bulge, *, 292.7998, 298.6633, , 1.1415, 19.2854, 21.4359, 0.4551, -82.5604, 28.1059520139
