galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA02 200 1.558 4.0 0 F160W 17.6660 17.1789 26.5796 4.5431 1.93442674523 1.0000 0.0307 5.5916 -1.850e-04
bulge VELA02 200 1.558 4.0 0 F160W 10.3451 14.0873 27.4259 16.2267 6.90923872836 10.2128 0.4562 77.9968 -1.850e-04
disk VELA02 200 1.558 4.0 1 F160W 16.2093 16.9028 27.4586 0.0105 0.00447084167747 1.0000 0.6120 -71.8007 1.046e-04
bulge VELA02 200 1.558 4.0 1 F160W 16.4736 16.9017 27.4586 0.0105 0.00447084167747 2.5011 0.9994 53.0000 1.046e-04
disk VELA02 200 1.558 4.0 5 F160W 16.6377 17.2789 27.4187 0.9267 0.39458371262 1.0000 0.0662 14.4908 -8.844e-05
bulge VELA02 200 1.558 4.0 5 F160W 15.0260 14.4369 27.1269 6.9688 2.96727633161 0.9843 0.0244 33.6117 -8.844e-05
disk VELA02 200 1.558 4.0 7 F160W 17.0932 20.1937 27.2052 3.6734 1.564113316 1.0000 0.1537 -14.2164 1.066e-04
bulge VELA02 200 1.558 4.0 7 F160W -9.6787 -61.9721 26.2873 0.0279 0.0118796650287 13.9184 0.2699 39.4312 1.066e-04
disk VELA02 210 1.676 3.7619047619 0 F160W 19.2871 16.7008 26.5117 8.490e-03 0.00370453017378 1.0000 0.4966 87.3735 2.080e-05
bulge VELA02 210 1.676 3.7619047619 0 F160W 16.9112 16.3867 26.5095 8.185e-03 0.00357144634539 2.8508 0.8708 -75.6594 2.080e-05
disk VELA02 210 1.676 3.7619047619 1 F160W 18.4714 18.4862 26.7875 8.1998 3.57790418362 1.0000 0.0454 3.4975 -1.254e-04
bulge VELA02 210 1.676 3.7619047619 1 F160W 15.6958 18.2489 28.1000 0.0114 0.00497428079871 3.4223 0.4580 65.5674 -1.254e-04
