galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA02 200 1.558 4.0 0 F160W 17.1645 16.6899 26.5131 5.0891 2.16691051246 0.4477 0.0708 17.0483 -7.830e-05
central VELA02 200 1.558 4.0 1 F160W 16.4755 16.9036 27.4585 0.0105 0.00447084167747 3.1010 0.6122 -71.7688 1.046e-04
central VELA02 200 1.558 4.0 5 F160W 16.4308 16.8429 27.1335 1.8004 0.76660031963 0.2529 0.0844 6.0688 8.686e-06
central VELA02 200 1.558 4.0 7 F160W 16.5334 18.1360 26.4266 3.4711 1.47797509968 19.6791 0.3199 -12.4860 2.732e-07
central VELA02 200 1.558 4.0 8 F160W 17.5414 18.1949 26.9967 0.0112 0.0047688977893 2.6554 0.9094 56.6549 -9.523e-05
central VELA02 210 1.676 3.7619047619 0 F160W 17.4134 16.7839 26.4863 8.801e-03 0.00384023204469 7.3611 0.5156 86.6812 2.217e-05
central VELA02 210 1.676 3.7619047619 1 F160W 18.5780 17.8306 26.8476 3.7128 1.62004471486 4.6809 0.0176 0.0666 -5.878e-05
central VELA02 210 1.676 3.7619047619 5 F160W 17.5529 18.5970 26.8877 1.000e-02 0.0043634042094 0.6943 0.6206 38.1136 1.408e-05
central VELA02 210 1.676 3.7619047619 6 F160W 18.4446 17.9141 26.9856 1.000e-02 0.0043634042094 0.8516 0.5850 85.0103 2.796e-05
central VELA02 210 1.676 3.7619047619 7 F160W 18.6622 17.9856 26.6680 3.6653 1.59931854487 0.4151 0.0473 -15.8791 4.902e-05
central VELA02 210 1.676 3.7619047619 8 F160W 18.5580 18.0204 26.4745 3.6518 1.59342794919 2.8489 0.0947 6.7788 -1.179e-04
central VELA02 220 1.796 3.54545454545 5 F160W 16.1018 17.8278 27.6855 8.831e-03 0.00393990990039 0.1543 0.6184 -31.4912 3.524e-04
central VELA02 230 1.919 3.34782608696 0 F160W 17.9844 18.5752 26.3306 3.7981 1.72900917277 0.8092 0.3812 72.6606 8.209e-05
central VELA02 230 1.919 3.34782608696 1 F160W 18.0269 18.9254 26.6859 0.8285 0.377158078945 12.5053 0.0348 -54.7705 -1.728e-05
central VELA02 230 1.919 3.34782608696 5 F160W 18.6841 18.4747 26.4243 2.2680 1.03246170555 0.0623 0.7855 58.6951 9.726e-05
central VELA02 230 1.919 3.34782608696 6 F160W 18.7528 17.9876 26.4078 2.3330 1.06205165743 9.3136 0.0419 -28.0935 6.991e-05
central VELA02 230 1.919 3.34782608696 7 F160W 18.4988 18.6430 26.4889 2.5521 1.16179255676 0.5585 0.4646 -56.3507 1.200e-04
central VELA02 230 1.919 3.34782608696 8 F160W 18.7425 18.4573 26.4033 2.7923 1.2711388097 0.0880 0.2256 -14.7842 1.421e-04
