galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA02 200 1.558 4.0 0 F160W 299.6986 294.2101 20.2601 33.7684 4.0372148304 1.0000 0.5304 -14.5258 0.000e+00
bulge VELA02 200 1.558 4.0 0 F160W 291.0874 305.5643 21.5819 18.1384 2.1685545504 2.4155 0.6810 49.4098 0.000e+00
disk VELA02 200 1.558 4.0 1 F160W 300.8402 307.5515 20.0611 26.9908 3.2269120848 1.0000 0.8005 -25.8953 0.000e+00
bulge VELA02 200 1.558 4.0 1 F160W 443.3780 322.5853 22.4309 3021.6482 361.256172199 2.0280 0.3928 88.1446 0.000e+00
disk VELA02 200 1.558 4.0 5 F160W 299.0818 305.0623 20.1313 26.8709 3.2125773204 1.0000 0.7693 20.5485 0.000e+00
bulge VELA02 200 1.558 4.0 5 F160W 294.5845 298.7714 22.6063 10.7558 1.2859204248 5.2510 0.9389 -28.7198 0.000e+00
disk VELA02 200 1.558 4.0 6 F160W 307.0718 311.8015 20.6302 27.7548 3.3182528688 1.0000 0.8332 -77.4526 0.000e+00
bulge VELA02 200 1.558 4.0 6 F160W 299.9210 297.1494 20.9396 23.1830 2.771666748 1.5317 0.8436 68.6477 0.000e+00
disk VELA02 200 1.558 4.0 7 F160W 300.0901 304.1719 20.0537 26.3775 3.15358839 1.0000 0.8795 53.2566 0.000e+00
bulge VELA02 200 1.558 4.0 7 F160W 300.5212 302.5240 23.7782 461.6383 55.1916285948 19.5588 0.6372 -49.0792 0.000e+00
disk VELA02 200 1.558 4.0 8 F160W 300.3517 304.2065 20.0745 26.1828 3.1303108368 1.0000 0.8850 43.3612 0.000e+00
bulge VELA02 200 1.558 4.0 8 F160W 298.9343 302.4965 23.6965 322.2280 38.524290768 19.9809 0.9062 -53.4477 0.000e+00
disk VELA02 210 1.676 3.7619047619 0 F160W 304.9115 297.6406 20.1906 36.5416 4.3687675296 1.0000 0.8922 29.7333 0.000e+00
bulge VELA02 210 1.676 3.7619047619 0 F160W 293.4754 298.3022 21.4672 14.3332 1.7136200592 0.3390 0.7762 13.8176 0.000e+00
disk VELA02 210 1.676 3.7619047619 1 F160W 299.3427 299.7080 20.4537 29.9260 3.577832856 1.0000 0.5431 79.1882 0.000e+00
bulge VELA02 210 1.676 3.7619047619 1 F160W 318.8214 316.6652 21.5129 71.3086 8.5253709816 0.4314 0.4810 -24.4592 0.000e+00
disk VELA02 210 1.676 3.7619047619 5 F160W 305.2181 302.6400 20.7872 46.9067 5.6079774252 1.0000 0.5743 -39.4162 0.000e+00
bulge VELA02 210 1.676 3.7619047619 5 F160W 296.4286 298.0613 20.5621 25.2551 3.0193987356 1.1979 0.6399 46.3220 0.000e+00
disk VELA02 210 1.676 3.7619047619 6 F160W 299.0815 299.0721 20.2790 29.2901 3.5018071956 1.0000 0.7895 -61.8991 0.000e+00
bulge VELA02 210 1.676 3.7619047619 6 F160W 555.6944 482.1487 22.2306 4004.3198 478.740458009 1.4791 0.2456 41.8736 0.000e+00
disk VELA02 210 1.676 3.7619047619 7 F160W 301.5486 298.4585 20.0394 28.8155 3.445065918 1.0000 0.8974 70.3459 0.000e+00
bulge VELA02 210 1.676 3.7619047619 7 F160W 298.8550 295.2310 23.2244 1095.8171 131.011509208 19.8626 0.4777 -38.1120 0.000e+00
