galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA02 200 1.558 4.0 0 F160W 297.9288 297.2808 20.0220 31.0039 3.7067022684 0.9910 0.6103 -8.9546 0.000e+00
central VELA02 200 1.558 4.0 1 F160W 300.7956 307.5813 20.0587 27.0804 3.2376243024 0.9469 0.8046 -25.3760 0.000e+00
central VELA02 200 1.558 4.0 5 F160W 298.4775 304.1196 20.0444 26.4873 3.1667156388 1.0558 0.7716 19.6116 0.000e+00
central VELA02 200 1.558 4.0 6 F160W 303.1189 306.8015 20.0480 28.5781 3.4166833236 0.8496 0.8753 -61.7782 0.000e+00
central VELA02 200 1.558 4.0 7 F160W 300.1765 303.8588 20.0397 26.2495 3.138285222 1.0885 0.8874 52.2554 0.000e+00
central VELA02 200 1.558 4.0 8 F160W 300.3135 303.9861 20.0584 26.3001 3.1443347556 1.0593 0.8850 43.0275 0.000e+00
central VELA02 210 1.676 3.7619047619 0 F160W 299.9115 298.0916 19.9463 28.5954 3.4187516424 1.2517 0.8820 19.1460 0.000e+00
central VELA02 210 1.676 3.7619047619 1 F160W 301.3863 299.4906 20.2094 31.0442 3.7115203752 1.1314 0.7244 89.0897 0.000e+00
central VELA02 210 1.676 3.7619047619 5 F160W 300.2181 297.6400 19.9790 26.9106 3.2173236936 1.2131 0.9809 -56.0862 0.000e+00
central VELA02 210 1.676 3.7619047619 6 F160W 299.0133 299.0936 20.2754 29.1294 3.4825945464 1.0489 0.7979 -61.1195 0.000e+00
central VELA02 210 1.676 3.7619047619 7 F160W 301.3390 298.3257 20.0192 28.6154 3.4211427624 1.0864 0.9146 78.0673 0.000e+00
central VELA02 210 1.676 3.7619047619 8 F160W 301.0847 298.2236 20.0082 28.1395 3.364246062 1.0987 0.9313 71.9517 0.000e+00
central VELA02 220 1.796 3.54545454545 0 F160W 300.6998 300.1539 20.0743 25.5710 3.057166476 1.3149 0.9366 8.8573 0.000e+00
central VELA02 220 1.796 3.54545454545 1 F160W 297.8902 300.7392 20.3257 29.8521 3.5689976676 1.2584 0.6240 89.2988 0.000e+00
central VELA02 220 1.796 3.54545454545 5 F160W 300.3531 299.6043 20.1072 24.4670 2.925176652 1.2086 0.9770 21.0158 0.000e+00
central VELA02 220 1.796 3.54545454545 6 F160W 299.4006 299.7392 20.3004 28.4346 3.3995270376 1.1432 0.6856 -84.3555 0.000e+00
central VELA02 220 1.796 3.54545454545 7 F160W 301.1451 300.4163 20.0895 25.2239 3.0156685884 1.3854 0.9162 -85.0239 0.000e+00
central VELA02 220 1.796 3.54545454545 8 F160W 301.1713 300.2750 20.0913 25.2288 3.0162544128 1.3423 0.9173 84.1107 0.000e+00
central VELA02 230 1.919 3.34782608696 0 F160W 300.8265 303.3672 19.7510 28.7913 3.4421726628 1.0551 0.9219 60.8686 0.000e+00
central VELA02 230 1.919 3.34782608696 1 F160W 296.2349 300.9088 20.2633 32.9662 3.9413070072 0.9196 0.5922 -88.3205 0.000e+00
central VELA02 230 1.919 3.34782608696 5 F160W 300.9111 302.8810 19.7216 28.1345 3.363648282 1.0143 0.9350 54.1731 0.000e+00
central VELA02 230 1.919 3.34782608696 6 F160W 300.9530 299.6973 20.0563 31.4387 3.7586852172 1.0102 0.5390 89.5582 0.000e+00
central VELA02 230 1.919 3.34782608696 7 F160W 301.3044 298.1370 19.7983 29.2425 3.49611633 1.0052 0.9177 -87.6987 0.000e+00
central VELA02 230 1.919 3.34782608696 8 F160W 302.3514 298.2474 19.7798 29.0132 3.4687021392 1.0068 0.9241 -77.0457 0.000e+00
central VELA02 240 2.044 3.16666666667 0 F160W 301.9182 301.8505 19.3327 29.0270 3.470352012 1.0392 0.9440 75.7249 0.000e+00
central VELA02 240 2.044 3.16666666667 1 F160W 296.6573 299.8832 19.7160 33.7274 4.0323130344 0.8197 0.5122 -87.8203 0.000e+00
central VELA02 240 2.044 3.16666666667 5 F160W 302.7919 300.7523 19.3168 29.2733 3.4997986548 0.9762 0.9389 54.0926 0.000e+00
central VELA02 240 2.044 3.16666666667 6 F160W 301.7348 300.1167 19.5586 34.0989 4.0767280884 0.8087 0.5477 81.2514 0.000e+00
central VELA02 240 2.044 3.16666666667 7 F160W 299.8588 298.3321 19.3825 29.1702 3.4874724312 1.0693 0.9378 -59.3567 0.000e+00
central VELA02 240 2.044 3.16666666667 8 F160W 300.4083 298.1790 19.3748 29.3518 3.5091838008 1.0495 0.9528 -54.3033 0.000e+00
central VELA02 250 2.171 3.0 0 F160W 298.3561 301.8058 19.5782 32.0681 3.8339337636 1.0767 0.9626 -23.4199 0.000e+00
other VELA02 250 2.171 3.0 0 F160W 344.6502 234.3159 21.6506 16.2893 1.9474835508 0.5303 0.5903 9.3622 0.000e+00
other VELA02 250 2.171 3.0 1 F160W 351.4176 304.8291 20.6463 31.5598 3.7731634488 0.1838 0.4996 -55.4700 0.000e+00
central VELA02 250 2.171 3.0 1 F160W 297.2146 301.7647 19.9002 32.3729 3.8703744324 1.0680 0.5444 -88.3608 0.000e+00
central VELA02 250 2.171 3.0 5 F160W 299.6679 301.7283 19.5275 33.8247 4.0439458332 0.9831 0.8859 -71.7007 0.000e+00
other VELA02 250 2.171 3.0 6 F160W 359.7318 272.2961 21.8374 19.6071 2.3441464476 2.2462 0.5874 -70.8757 0.000e+00
central VELA02 250 2.171 3.0 6 F160W 296.9764 300.9250 19.6354 38.3369 4.5834064164 0.6589 0.4787 88.9845 0.000e+00
central VELA02 250 2.171 3.0 7 F160W 301.8985 301.4020 19.5928 34.5813 4.1344019028 0.9976 0.8799 74.3175 0.000e+00
central VELA02 250 2.171 3.0 8 F160W 301.8370 301.5150 19.5791 34.1781 4.0861969236 1.0296 0.8786 76.5831 0.000e+00
central VELA02 260 2.301 2.84615384615 0 F160W 296.4594 299.3091 19.1072 37.2484 4.4532697104 0.8681 0.9152 62.2734 0.000e+00
central VELA02 260 2.301 2.84615384615 1 F160W 304.3896 300.7276 19.2486 33.6684 4.0252592304 1.0097 0.4011 -87.3527 0.000e+00
central VELA02 260 2.301 2.84615384615 5 F160W 295.4500 301.3778 19.1182 36.9064 4.4123815584 0.7901 0.8992 72.9261 0.000e+00
central VELA02 260 2.301 2.84615384615 6 F160W 299.0053 299.7170 19.2042 37.5456 4.4888017536 0.9466 0.4018 -89.6100 0.000e+00
central VELA02 260 2.301 2.84615384615 7 F160W 298.5003 304.5927 19.1438 36.8001 4.3996727556 0.7982 0.9101 -74.6361 0.000e+00
central VELA02 260 2.301 2.84615384615 8 F160W 297.7655 304.5023 19.1377 36.9477 4.4173192212 0.7857 0.9182 -74.4328 0.000e+00
central VELA02 270 2.434 2.7037037037 0 F160W 298.0100 298.1617 19.1902 39.4041 4.7109965796 0.8473 0.9449 46.1262 0.000e+00
central VELA02 270 2.434 2.7037037037 1 F160W 303.9422 300.0269 19.2118 44.4653 5.3160934068 0.6579 0.3121 88.7602 0.000e+00
central VELA02 270 2.434 2.7037037037 5 F160W 296.4304 300.0876 19.2028 39.8768 4.7675107008 0.8361 0.8406 87.6637 0.000e+00
other VELA02 270 2.434 2.7037037037 6 F160W 365.2902 296.3371 21.4270 16.4055 1.961375958 0.3023 0.5257 -44.3077 0.000e+00
central VELA02 270 2.434 2.7037037037 6 F160W 299.4023 299.8572 19.3583 41.5751 4.9705526556 0.8359 0.3715 88.0201 0.000e+00
central VELA02 270 2.434 2.7037037037 7 F160W 297.5929 301.8329 19.2007 40.2019 4.8063783564 0.7842 0.8595 -83.8645 0.000e+00
central VELA02 270 2.434 2.7037037037 8 F160W 297.2379 301.6875 19.1958 40.0219 4.7848582764 0.8168 0.8537 -85.8003 0.000e+00
central VELA02 280 2.568 2.57142857143 0 F160W 302.3469 303.2045 19.1213 52.9806 6.3341486136 0.5229 0.8895 76.5897 0.000e+00
central VELA02 280 2.568 2.57142857143 1 F160W 293.9032 297.1350 19.1259 49.1718 5.8787837208 0.5433 0.3569 -87.7363 0.000e+00
other VELA02 280 2.568 2.57142857143 1 F160W 18.8201 173.0397 23.2396 31.0333 3.7102172148 1.4235 0.3608 36.4959 0.000e+00
central VELA02 280 2.568 2.57142857143 5 F160W 301.3099 301.6868 19.1465 42.3706 5.0656594536 0.7622 0.7657 87.7046 0.000e+00
other VELA02 280 2.568 2.57142857143 5 F160W 371.7689 250.3262 21.1409 19.7496 2.3611831776 0.8257 0.5537 -68.0617 0.000e+00
central VELA02 280 2.568 2.57142857143 6 F160W 298.8391 299.7007 19.2938 48.6303 5.8140441468 0.5792 0.3153 -89.6261 0.000e+00
other VELA02 280 2.568 2.57142857143 6 F160W 383.9400 279.4236 20.7948 12.6917 1.5173688852 0.9010 0.8849 19.4246 0.000e+00
other VELA02 280 2.568 2.57142857143 7 F160W 327.0974 220.6662 21.2837 19.7875 2.36571435 1.1622 0.4623 81.3840 0.000e+00
central VELA02 280 2.568 2.57142857143 7 F160W 302.6166 301.6474 19.1720 41.8061 4.9981700916 0.7232 0.8793 -85.7076 0.000e+00
other VELA02 280 2.568 2.57142857143 8 F160W 335.6349 223.7852 21.2683 20.7749 2.4837639444 1.1033 0.4589 86.7245 0.000e+00
central VELA02 280 2.568 2.57142857143 8 F160W 302.6356 302.0152 19.1746 42.7136 5.1066671616 0.6686 0.8813 -86.4701 0.000e+00
other VELA02 290 2.704 2.44827586207 0 F160W 419.3467 283.9141 20.4941 20.5945 2.462196042 1.2784 0.6022 4.6544 0.000e+00
central VELA02 290 2.704 2.44827586207 0 F160W 299.7251 303.0326 19.0222 40.5716 4.8505782096 0.9116 0.9328 -9.9233 0.000e+00
central VELA02 290 2.704 2.44827586207 1 F160W 296.4021 299.8889 19.2221 48.6198 5.8127888088 0.7332 0.3051 89.4480 0.000e+00
other VELA02 290 2.704 2.44827586207 1 F160W 276.6331 540.2693 20.4865 15.4195 1.843493742 1.5529 0.7339 80.7749 0.000e+00
other VELA02 290 2.704 2.44827586207 5 F160W 404.8327 435.3741 20.4666 18.8591 2.2547185596 1.5279 0.6938 -3.5695 0.000e+00
central VELA02 290 2.704 2.44827586207 5 F160W 300.7225 302.6476 19.0541 40.3846 4.8282212376 0.8925 0.8083 -82.2514 0.000e+00
central VELA02 290 2.704 2.44827586207 6 F160W 299.7707 298.7558 19.1786 45.1184 5.3941754304 0.7334 0.3841 -88.7906 0.000e+00
other VELA02 290 2.704 2.44827586207 6 F160W 415.1965 533.0634 20.5479 14.3975 1.72130751 1.2366 0.8107 63.0524 0.000e+00
other VELA02 290 2.704 2.44827586207 7 F160W 352.4201 355.0885 20.2243 23.4933 2.8087649748 1.4016 0.8352 -55.5642 0.000e+00
central VELA02 290 2.704 2.44827586207 7 F160W 300.8379 301.1527 19.1126 37.3372 4.4638862832 1.0119 0.8372 -89.0831 0.000e+00
central VELA02 290 2.704 2.44827586207 8 F160W 300.8564 301.6336 19.0799 38.5327 4.6068154812 1.0147 0.8289 -84.4162 0.000e+00
other VELA02 290 2.704 2.44827586207 8 F160W 363.2250 363.2708 20.2723 22.8599 2.7330382044 1.3772 0.7191 -38.0535 0.000e+00
central VELA02 300 2.842 2.33333333333 0 F160W 297.9944 297.6232 18.8805 49.8568 5.9606795808 0.6021 0.8900 74.6436 0.000e+00
other VELA02 300 2.842 2.33333333333 1 F160W 508.8078 342.5423 20.6750 22.0833 2.6401910148 1.0057 0.8919 -77.4572 0.000e+00
central VELA02 300 2.842 2.33333333333 1 F160W 305.0492 301.5519 18.9603 44.9109 5.3693675604 0.8581 0.3669 86.2702 0.000e+00
central VELA02 300 2.842 2.33333333333 5 F160W 297.7469 300.1202 18.8649 45.0527 5.3863206012 0.7987 0.7352 76.6578 0.000e+00
central VELA02 300 2.842 2.33333333333 6 F160W 299.2020 300.5005 18.9084 48.7168 5.8243857408 0.8500 0.3222 88.4890 0.000e+00
central VELA02 300 2.842 2.33333333333 7 F160W 296.8719 301.2440 18.8398 44.8330 5.360054148 0.7153 0.9171 56.0765 0.000e+00
central VELA02 300 2.842 2.33333333333 8 F160W 297.2145 300.9653 18.8426 44.6145 5.333931162 0.7363 0.8961 64.5170 0.000e+00
central VELA02 310 2.982 2.22580645161 0 F160W 299.8413 301.1709 19.0947 37.0987 4.4353721772 0.9302 0.9229 16.4045 0.000e+00
other VELA02 310 2.982 2.22580645161 1 F160W 503.3962 110.7131 20.8883 17.1788 2.0538286128 1.2462 0.8383 -88.7737 0.000e+00
central VELA02 310 2.982 2.22580645161 1 F160W 300.5607 300.6516 19.0938 40.7583 4.8728993148 0.9611 0.3452 87.5540 0.000e+00
central VELA02 310 2.982 2.22580645161 5 F160W 299.7273 302.5731 19.0391 36.7435 4.392905886 0.8294 0.8977 76.1461 0.000e+00
other VELA02 310 2.982 2.22580645161 5 F160W 168.7367 35.4633 21.6388 14.5583 1.7405321148 4.1594 0.4814 -40.2997 0.000e+00
central VELA02 310 2.982 2.22580645161 6 F160W 302.0020 301.9788 19.0859 47.1167 5.6330841852 0.8215 0.4264 -89.0965 0.000e+00
other VELA02 310 2.982 2.22580645161 7 F160W 71.9631 114.2663 22.4985 14.2269 1.7009112564 3.0848 0.5575 -79.4692 0.000e+00
central VELA02 310 2.982 2.22580645161 7 F160W 300.8952 302.3583 19.0814 39.0693 4.6709692308 0.8304 0.8524 -43.0938 0.000e+00
other VELA02 310 2.982 2.22580645161 8 F160W 101.7287 96.1456 22.5104 15.2033 1.8176457348 2.9413 0.5180 -69.4015 0.000e+00
central VELA02 310 2.982 2.22580645161 8 F160W 300.7339 302.1898 19.0665 37.9316 4.5349503696 0.8615 0.8926 -39.5175 0.000e+00
other VELA02 320 3.124 2.125 0 F160W 401.5328 128.1873 21.0054 11.7119 1.4002279164 1.5937 0.7584 7.4373 0.000e+00
central VELA02 320 3.124 2.125 0 F160W 299.1077 301.2704 18.9649 37.1306 4.4391860136 1.0665 0.8366 46.9743 0.000e+00
other VELA02 320 3.124 2.125 0 F160W 293.3910 225.8774 19.8762 18.0208 2.1544947648 2.3845 0.7901 -38.8091 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 362.4969 269.4832 20.1247 11.3383 1.3555617948 2.6689 0.6452 -78.5494 0.000e+00
other VELA02 320 3.124 2.125 1 F160W 414.4970 538.9149 22.2808 101.8514 12.1769459784 3.0724 0.3016 -26.0334 0.000e+00
central VELA02 320 3.124 2.125 1 F160W 304.4472 300.9689 19.0174 44.1630 5.279951628 0.9445 0.3498 -66.0847 0.000e+00
central VELA02 320 3.124 2.125 5 F160W 300.2080 302.9244 18.9681 36.4762 4.3609485672 0.9868 0.8766 43.6471 0.000e+00
