galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA28 200 1.558 4.0 0 F160W 295.2487 304.6490 29.3979 1.000e-02 0.00119556 1.0000 0.0500 76.1328 0.000e+00
bulge VELA28 200 1.558 4.0 0 F160W 300.4870 299.4408 21.8133 27.1070 3.240804492 2.2778 0.9915 -1.2366 0.000e+00
disk VELA28 200 1.558 4.0 1 F160W 295.3842 301.7280 22.9958 42.5007 5.0812136892 1.0000 0.2358 82.8461 0.000e+00
bulge VELA28 200 1.558 4.0 1 F160W 301.7777 301.4920 22.9995 22.1653 2.6499946068 1.5820 0.5418 -65.6424 0.000e+00
disk VELA28 200 1.558 4.0 5 F160W 305.3659 300.3522 23.0215 27.7207 3.3141760092 1.0000 0.2634 -81.5300 0.000e+00
bulge VELA28 200 1.558 4.0 5 F160W 298.9783 301.6525 22.6818 31.6124 3.7794520944 2.4210 0.3955 72.9657 0.000e+00
disk VELA28 200 1.558 4.0 6 F160W 300.3721 301.3409 22.2430 29.9941 3.5859746196 1.0000 0.6035 -81.4720 0.000e+00
bulge VELA28 200 1.558 4.0 6 F160W 300.6096 300.5497 23.9808 5.6304 0.6731481024 0.4256 0.7008 78.0970 0.000e+00
disk VELA28 200 1.558 4.0 7 F160W 300.5583 301.8773 22.3163 51.5284 6.1605293904 1.0000 0.2646 -83.3702 0.000e+00
bulge VELA28 200 1.558 4.0 7 F160W 301.2981 301.1757 23.7942 10.5130 1.256892228 0.8830 0.3509 75.8087 0.000e+00
disk VELA28 200 1.558 4.0 8 F160W 301.7269 301.7318 22.3028 49.3563 5.9008418028 1.0000 0.2742 -83.3861 0.000e+00
bulge VELA28 200 1.558 4.0 8 F160W 300.9458 301.1913 23.8499 10.4635 1.250974206 0.8663 0.3388 75.9624 0.000e+00
disk VELA28 210 1.676 3.7619047619 1 F160W 294.9958 302.5961 22.7178 39.1298 4.6782023688 1.0000 0.3668 -87.3398 0.000e+00
bulge VELA28 210 1.676 3.7619047619 1 F160W 301.4008 299.3007 22.7520 34.9156 4.1743694736 2.2239 0.2626 89.7875 0.000e+00
disk VELA28 210 1.676 3.7619047619 5 F160W 291.5016 300.2759 22.3474 41.0094 4.9029198264 1.0000 0.3035 -82.1141 0.000e+00
bulge VELA28 210 1.676 3.7619047619 5 F160W 301.2950 300.4126 23.4069 23.5826 2.8194413256 1.6859 0.3491 78.4874 0.000e+00
disk VELA28 210 1.676 3.7619047619 6 F160W 292.9351 302.2306 21.9958 38.6431 4.6200144636 1.0000 0.3690 80.9635 0.000e+00
