galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA28 200 1.558 4.0 0 F160W 300.2487 299.6490 22.0274 23.5452 2.8149699312 2.0352 0.9407 -53.2658 0.000e+00
central VELA28 200 1.558 4.0 1 F160W 300.3842 301.4326 22.2188 30.8311 3.6860429916 1.5050 0.4368 -87.8665 0.000e+00
central VELA28 200 1.558 4.0 5 F160W 300.7700 300.9060 22.0939 28.2696 3.3798002976 1.6138 0.3823 86.3939 0.000e+00
central VELA28 200 1.558 4.0 6 F160W 301.5134 300.7921 22.1235 20.1546 2.4096033576 1.6572 0.6492 -88.2456 0.000e+00
central VELA28 200 1.558 4.0 7 F160W 301.1996 301.3507 22.0919 33.5728 4.0138296768 1.8139 0.3538 86.5962 0.000e+00
central VELA28 200 1.558 4.0 8 F160W 301.0555 301.3021 22.0867 33.3709 3.9896913204 1.7857 0.3547 87.0388 0.000e+00
central VELA28 210 1.676 3.7619047619 1 F160W 299.9958 299.5103 21.9535 41.6214 4.9760880984 1.7522 0.3007 88.6397 0.000e+00
central VELA28 210 1.676 3.7619047619 5 F160W 296.5016 300.5813 22.1002 32.5833 3.8955290148 0.9991 0.3227 -88.5097 0.000e+00
central VELA28 210 1.676 3.7619047619 6 F160W 297.9351 301.0664 21.8329 37.0142 4.4252696952 1.8239 0.4203 84.1400 0.000e+00
central VELA28 210 1.676 3.7619047619 7 F160W 299.1153 301.0605 22.0884 27.0108 3.2293032048 1.1495 0.3877 88.0588 0.000e+00
central VELA28 210 1.676 3.7619047619 8 F160W 298.7441 300.9979 22.0997 27.6440 3.305006064 1.1270 0.3805 88.5557 0.000e+00
central VELA28 220 1.796 3.54545454545 0 F160W 300.5214 301.8265 20.8804 35.2171 4.2104156076 2.6511 0.8695 24.2082 0.000e+00
other VELA28 220 1.796 3.54545454545 0 F160W 53.6552 81.1377 21.6929 43.3211 5.1792974316 3.1884 0.4585 64.7345 0.000e+00
central VELA28 220 1.796 3.54545454545 1 F160W 298.0109 300.4340 21.0541 35.4074 4.2331671144 1.8549 0.3909 78.0182 0.000e+00
central VELA28 220 1.796 3.54545454545 5 F160W 295.8759 301.5366 21.1737 27.6605 3.306978738 1.9082 0.4351 -83.4898 0.000e+00
central VELA28 220 1.796 3.54545454545 6 F160W 298.4377 301.3927 21.1911 23.2930 2.784817908 1.7323 0.5902 -88.0950 0.000e+00
central VELA28 220 1.796 3.54545454545 7 F160W 297.3266 301.7527 21.1479 31.6614 3.7853103384 2.0152 0.4085 -83.2109 0.000e+00
central VELA28 220 1.796 3.54545454545 8 F160W 296.7019 301.7104 21.1476 30.3869 3.6329362164 2.0781 0.4089 -83.0920 0.000e+00
other VELA28 230 1.919 3.34782608696 0 F160W 108.8049 260.9014 22.6226 9.0037 1.0764463572 1.0884 0.7309 81.0289 0.000e+00
central VELA28 230 1.919 3.34782608696 0 F160W 300.0756 301.6263 20.8167 17.0067 2.0332530252 1.0301 0.7594 19.2859 0.000e+00
central VELA28 230 1.919 3.34782608696 1 F160W 304.1783 299.7750 20.9733 24.0934 2.8805105304 1.5800 0.3937 83.1176 0.000e+00
