sim,aexp,hid,difference_halo_gas,difference_stars_gas,difference_stars_halo,export_maxncellwside,export_ncells,export_ncellwside,export_ncellwside_actual,export_nstars,export_super_level,fake_halo,flag_bad_halo,halo_a[x],halo_a[y],halo_a[z],halo_b_to_a,halo_c_to_a,halo_descid,halo_dr,halo_good,halo_id,halo_jx,halo_jy,halo_jz,halo_m200b,halo_m200c,halo_m2500c,halo_m500c,halo_mvir,halo_mvir_all,halo_norm_dr,halo_np,halo_rs,halo_rs_klypin,halo_rvir,halo_scale,halo_spin,halo_spin_bullock,halo_t/|u|,halo_vmax,halo_voff,halo_vrms,halo_vx,halo_vy,halo_vz,halo_x,halo_xoff,halo_y,halo_z,mass_gas,mass_metals,mass_sfr,mass_ssfr,mass_stars,mass_stars_middle,mass_stars_young,metal_modification,prefix,scale,sim_resolution_pc,sim_resolution_pchcm,sim_width_mpchcm
MW1,0.160,2959,1284.0,1818.0,1567.0,2.0,277800.0,4.0,2.0,5827.0,-2.0,0.0,1.0,20.607,-11.609,5.374,0.55,0.458,3200.0,0.07,1.0,2959.0,11.84,64.04,-38.51,12150000000.0,12110000000.0,0.0,7913000000.0,12510000000.0,12510000000.0,2.021,2667.0,41.315,14.708,60.643,0.16,0.0,0.0,0.001,77.18,0.0,0.0,0.0,-0.0,0.0,9.912,10.622,10.067,9.805,142000000000000.0,20530000.0,4.907,0.0,630200000.0,301700000.0,49070000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.160_0002959_,0.16,69.833,305.2,20.0
MW1,0.180,3200,2300.0,684.5,1723.0,2.0,488800.0,4.0,2.0,17660.0,-2.0,0.0,1.0,-3.136,16.952,-6.269,0.877,0.74,4075.0,0.219,0.0,3200.0,-19.99,-40.53,133.2,18850000000.0,18740000000.0,3824000000.0,10830000000.0,19450000000.0,19450000000.0,6.28,3941.0,33.724,21.606,70.195,0.18,0.0,0.0,0.001,82.53,0.0,0.0,0.0,-0.0,0.0,9.972,7.734,10.034,9.816,142000000000000.0,39890000.0,4.236,0.0,1406000000.0,325600000.0,42360000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.180_0003200_,0.18,39.283,152.6,20.0
MW1,0.220,4293,3170.0,3016.0,2343.0,2.0,698500.0,4.0,2.0,63330.0,-2.0,0.0,1.0,-2.151,-3.273,23.223,0.852,0.698,4893.0,0.477,0.0,4293.0,-472.6,-4765.0,-2373.0,61580000000.0,61200000000.0,0.0,42230000000.0,62740000000.0,62740000000.0,13.685,11730.0,54.563,23.032,103.5,0.22,0.0,0.0,0.001,113.9,0.0,0.0,-0.0,0.0,0.0,10.154,15.663,9.978,9.9,142000000000000.0,79110000.0,16.427,0.0,6280000000.0,748600000.0,164300000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.220_0004293_,0.22,48.031,152.6,20.0
MW1,0.240,2322,74.041,37.243,51.359,2.0,925800.0,4.0,2.0,76000.0,-2.0,0.0,1.0,18.924,24.88,26.124,0.632,0.575,2116.0,0.087,1.0,2322.0,24540.0,16460.0,-23190.0,93300000000.0,88350000000.0,11270000000.0,34950000000.0,100100000000.0,100100000000.0,2.511,24590.0,119.9,53.335,120.7,0.24,0.0,0.0,0.002,121.9,0.0,0.0,-0.0,-0.0,0.0,10.184,41.32,10.122,9.447,142000000000000.0,101000000.0,11.587,0.0,5695000000.0,1068000000.0,115900000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.240_0002322_,0.24,52.353,152.6,20.0
MW1,0.260,2116,69.125,46.336,30.931,2.0,1113000.0,4.0,2.0,105100.0,-2.0,0.0,1.0,8.233,13.563,21.869,0.782,0.701,2292.0,0.109,1.0,2116.0,13100.0,6491.0,-9150.0,147200000000.0,146200000000.0,87770000000.0,128200000000.0,149400000000.0,149400000000.0,3.44,32810.0,14.916,9.687,137.7,0.26,0.0,0.0,0.0,175.6,0.0,0.0,-0.0,-0.0,0.0,10.106,16.121,10.087,9.463,142000000000000.0,119200000.0,18.798,0.0,10530000000.0,2081000000.0,188000000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.260_0002116_,0.26,56.705,152.6,20.0
MW1,0.280,2292,67.263,48.675,42.694,2.0,1479000.0,4.0,2.0,136200.0,-2.0,0.0,1.0,6.004,20.941,36.231,0.813,0.647,5846.0,0.114,0.0,2292.0,24120.0,-14590.0,-73550.0,238800000000.0,233700000000.0,77880000000.0,175700000000.0,245800000000.0,245800000000.0,9.677,128000.0,27.511,30.342,162.3,0.28,0.0,0.0,0.001,163.5,0.0,0.0,-0.0,-0.0,0.0,10.062,24.902,10.079,9.562,142000000000000.0,132500000.0,20.923,0.0,14960000000.0,1671000000.0,209200000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.280_0002292_,0.28,61.117,152.6,20.0
MW1,0.300,5846,2574.0,2575.0,31.303,2.0,2605000.0,4.0,2.0,344400.0,-2.0,0.0,1.0,25.095,22.76,45.401,0.716,0.638,1442.0,0.081,0.0,5846.0,-32110.0,-17990.0,-145200.0,483600000000.0,467600000000.0,162200000000.0,334200000000.0,509300000000.0,509300000000.0,6.864,189800.0,35.263,36.226,206.4,0.3,0.0,0.0,0.001,203.6,0.0,0.0,-0.0,0.0,0.0,10.007,18.455,10.082,9.662,142000000000000.0,153500000.0,51.508,0.0,40190000000.0,4399000000.0,515100000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.300_0005846_,0.3,65.416,152.6,20.0
MW1,0.320,1442,12.241,28.78,37.91,2.0,3037000.0,4.0,2.0,436000.0,-2.0,0.0,1.0,24.087,4.87,56.81,0.886,0.761,2555.0,0.032,1.0,1442.0,190800.0,354800.0,-309600.0,908200000000.0,885400000000.0,167200000000.0,557600000000.0,934500000000.0,934500000000.0,2.731,304600.0,76.204,62.462,252.1,0.32,0.0,0.0,0.001,230.9,0.0,0.0,-0.0,0.0,0.0,9.984,33.898,10.077,9.739,142000000000000.0,182700000.0,110.5,0.0,66390000000.0,6217000000.0,1105000000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.320_0001442_,0.32,34.896,76.294,20.0
MW1,0.340,2555,25.085,57.367,34.487,2.0,3637000.0,4.0,2.0,657600.0,-2.0,0.0,1.0,46.49,6.575,50.319,0.89,0.825,2867.0,0.038,1.0,2555.0,550600.0,235600.0,-173000.0,1153000000000.0,1138000000000.0,417500000000.0,913300000000.0,1164000000000.0,1164000000000.0,3.333,475900.0,39.66,33.091,270.5,0.34,0.0,0.0,0.001,269.3,0.0,0.0,0.0,-0.0,0.0,9.999,16.872,10.082,9.767,142000000000000.0,215700000.0,107.7,0.0,86000000000.0,7312000000.0,1077000000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.340_0002555_,0.34,37.106,76.294,20.0
MW1,0.360,2867,12.864,16.45,19.01,2.0,4251000.0,4.0,2.0,1115000.0,-2.0,0.0,1.0,63.722,-16.499,50.747,0.797,0.726,2436.0,0.019,1.0,2867.0,1008000.0,241000.0,-400200.0,1307000000000.0,1289000000000.0,604800000000.0,1121000000000.0,1316000000000.0,1316000000000.0,2.644,990800.0,24.409,26.058,280.9,0.36,0.0,0.0,0.0,290.0,0.0,0.0,-0.0,0.0,0.0,10.014,10.833,10.06,9.794,142000000000000.0,230100000.0,179.0,0.0,113000000000.0,9305000000.0,1790000000.0,None,/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.360_0002867_,0.36,39.249,76.294,20.0
