sim	aexp	hid	difference_halo_gas	difference_stars_gas	difference_stars_halo	export_maxncellwside	export_ncells	export_ncellwside	export_ncellwside_actual	export_nstars	export_super_level	fake_halo	flag_bad_halo	halo_a[x]	halo_a[y]	halo_a[z]	halo_b_to_a	halo_c_to_a	halo_descid	halo_dr	halo_good	halo_id	halo_jx	halo_jy	halo_jz	halo_m200b	halo_m200c	halo_m2500c	halo_m500c	halo_mvir	halo_mvir_all	halo_norm_dr	halo_np	halo_rs	halo_rs_klypin	halo_rvir	halo_scale	halo_spin	halo_spin_bullock	halo_t/|u|	halo_vmax	halo_voff	halo_vrms	halo_vx	halo_vy	halo_vz	halo_x	halo_xoff	halo_y	halo_z	mass_gas	mass_metals	mass_sfr	log(mass_ssfr)[Gyr^-1]	mass_stars	mass_stars_middle	mass_stars_young	metal_modification	prefix	scale	sim_resolution_pc	sim_resolution_pchcm	sim_width_mpchcm
MW1	0.16	2959	1284	1818	1567	2	277800	4	2	5827	-2	0	1	20.607	-11.609	5.374	0.55	0.458	3200	0.07	1	2959	11.84	64.04	-38.51	12150000000	12110000000	0	7913000000	12510000000	12510000000	2.021	2667	41.315	14.708	60.643	0.16	0	0	0.001	77.18	0	0	0	0	0	9.912	10.622	10.067	9.805	1.42E+14	20530000	4.907	0.891337659	630200000	301700000	49070000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.160_0002959_	0.16	69.833	305.2	20
MW1	0.18	3200	2300	684.5	1723	2	488800	4	2	17660	-2	0	1	-3.136	16.952	-6.269	0.877	0.74	4075	0.219	0	3200	-19.99	-40.53	133.2	18850000000	18740000000	3824000000	10830000000	19450000000	19450000000	6.28	3941	33.724	21.606	70.195	0.18	0	0	0.001	82.53	0	0	0	0	0	9.972	7.734	10.034	9.816	1.42E+14	39890000	4.236	0.478970631	1406000000	325600000	42360000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.180_0003200_	0.18	39.283	152.6	20
MW1	0.22	4293	3170	3016	2343	2	698500	4	2	63330	-2	0	1	-2.151	-3.273	23.223	0.852	0.698	4893	0.477	0	4293	-472.6	-4765	-2373	61580000000	61200000000	0	42230000000	62740000000	62740000000	13.685	11730	54.563	23.032	103.5	0.22	0	0	0.001	113.9	0	0	0	0	0	10.154	15.663	9.978	9.9	1.42E+14	79110000	16.427	0.417598613	6280000000	748600000	164300000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.220_0004293_	0.22	48.031	152.6	20
MW1	0.24	2322	74.041	37.243	51.359	2	925800	4	2	76000	-2	0	1	18.924	24.88	26.124	0.632	0.575	2116	0.087	1	2322	24540	16460	-23190	93300000000	88350000000	11270000000	34950000000	1.001E+11	1.001E+11	2.511	24590	119.9	53.335	120.7	0.24	0	0	0.002	121.9	0	0	0	0	0	10.184	41.32	10.122	9.447	1.42E+14	101000000	11.587	0.308477279	5695000000	1068000000	115900000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.240_0002322_	0.24	52.353	152.6	20
MW1	0.26	2116	69.125	46.336	30.931	2	1113000	4	2	105100	-2	0	1	8.233	13.563	21.869	0.782	0.701	2292	0.109	1	2116	13100	6491	-9150	1.472E+11	1.462E+11	87770000000	1.282E+11	1.494E+11	1.494E+11	3.44	32810	14.916	9.687	137.7	0.26	0	0	0	175.6	0	0	0	0	0	10.106	16.121	10.087	9.463	1.42E+14	119200000	18.798	0.251683274	10530000000	2081000000	188000000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.260_0002116_	0.26	56.705	152.6	20
MW1	0.28	2292	67.263	48.675	42.694	2	1479000	4	2	136200	-2	0	1	6.004	20.941	36.231	0.813	0.647	5846	0.114	0	2292	24120	-14590	-73550	2.388E+11	2.337E+11	77880000000	1.757E+11	2.458E+11	2.458E+11	9.677	128000	27.511	30.342	162.3	0.28	0	0	0.001	163.5	0	0	0	0	0	10.062	24.902	10.079	9.562	1.42E+14	132500000	20.923	0.145692362	14960000000	1671000000	209200000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.280_0002292_	0.28	61.117	152.6	20
MW1	0.3	5846	2574	2575	31.303	2	2605000	4	2	344400	-2	0	1	25.095	22.76	45.401	0.716	0.638	1442	0.081	0	5846	-32110	-17990	-145200	4.836E+11	4.676E+11	1.622E+11	3.342E+11	5.093E+11	5.093E+11	6.864	189800	35.263	36.226	206.4	0.3	0	0	0.001	203.6	0	0	0	0	0	10.007	18.455	10.082	9.662	1.42E+14	153500000	51.508	0.107756681	40190000000	4399000000	515100000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.300_0005846_	0.3	65.416	152.6	20
MW1	0.32	1442	12.241	28.78	37.91	2	3037000	4	2	436000	-2	0	1	24.087	4.87	56.81	0.886	0.761	2555	0.032	1	1442	190800	354800	-309600	9.082E+11	8.854E+11	1.672E+11	5.576E+11	9.345E+11	9.345E+11	2.731	304600	76.204	62.462	252.1	0.32	0	0	0.001	230.9	0	0	0	0	0	9.984	33.898	10.077	9.739	1.42E+14	182700000	110.5	0.221259609	66390000000	6217000000	1105000000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.320_0001442_	0.32	34.896	76.294	20
MW1	0.34	2555	25.085	57.367	34.487	2	3637000	4	2	657600	-2	0	1	46.49	6.575	50.319	0.89	0.825	2867	0.038	1	2555	550600	235600	-173000	1.153E+12	1.138E+12	4.175E+11	9.133E+11	1.164E+12	1.164E+12	3.333	475900	39.66	33.091	270.5	0.34	0	0	0.001	269.3	0	0	0	0	0	9.999	16.872	10.082	9.767	1.42E+14	215700000	107.7	0.097717252	86000000000	7312000000	1077000000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.340_0002555_	0.34	37.106	76.294	20
MW1	0.36	2867	12.864	16.45	19.01	2	4251000	4	2	1115000	-2	0	1	63.722	-16.499	50.747	0.797	0.726	2436	0.019	1	2867	1008000	241000	-400200	1.307E+12	1.289E+12	6.048E+11	1.121E+12	1.316E+12	1.316E+12	2.644	990800	24.409	26.058	280.9	0.36	0	0	0	290	0	0	0	0	0	10.014	10.833	10.06	9.794	1.42E+14	230100000	179	0.199774587	1.13E+11	9305000000	1790000000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.360_0002867_	0.36	39.249	76.294	20
MW1	0.38	2436	14.351	23.892	11.742	2	4570000	4	2	1258000	-2	0	1	66.451	-28.013	52.784	0.804	0.718	5620	0.024	1	2436	989600	76200	-160500	1.55E+12	1.515E+12	6.455E+11	1.222E+12	1.56E+12	1.56E+12	3.301	1143000	32.114	33.912	296.3	0.38	0	0	0.001	285.7	0	0	0	0	0	10.008	15.829	10.065	9.811	1.42E+14	238400000	44.299	-0.442096548	1.226E+11	3593000000	443000000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.380_0002436_	0.38	41.45	76.294	20
MW1	0.41	5625	25.806	18.468	22.969	2	5055000	4	2	1545000	-2	0	1	71.323	-30.945	60.171	0.775	0.704	2253	0.006	1	5625	925900	310100	87470	1.776E+12	1.74E+12	8.461E+11	1.365E+12	1.782E+12	1.782E+12	11.075	1460000	24.553	23.853	308	0.41	0	0	0.001	315.2	0	0	0	0	0	9.999	18.887	10.053	9.837	1.42E+14	255100000	50.975	-0.429996877	1.372E+11	5030000000	509700000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.410_0005625_	0.41	44.719	76.294	20
MW1	0.42	2253	29.542	14.176	26.845	2	5097000	4	2	1607000	-2	0	1	71.903	-28.555	63.125	0.767	0.707	2479	0.008	1	2253	832700	188600	185300	1.84E+12	1.788E+12	8.791E+11	1.385E+12	1.845E+12	1.845E+12	7555	1546000	26.581	25.39	310.9	0.42	0	0	0.001	311.3	0	0	0	0	0	9.996	25.779	10.048	9.839	1.42E+14	263100000	18.266	-0.895813315	1.437E+11	5574000000	182700000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.420_0002253_	0.42	45.802	76.294	20
MW1	0.43	2479	46.014	14.499	40.209	2	5106000	4	2	1701000	-2	0	1	75.505	-26.188	64.746	0.761	0.703	-1			2479	892800	305600	281100	1.9E+12	1.841E+12	8.421E+11	1.432E+12	1.905E+12	1.905E+12		1508000	28.036	27.632	313.6	0.43	0	0	0.001	305.8	0	0	0	0	0	9.997	24.916	10.048	9.846	1.42E+14	265500000	52.772	-0.446388467	1.475E+11	4055000000	527700000	None	/u/cmoody3/data2/export_sunrise_fits/MW1/MW1_a0.430_0002479_	0.43	46.886	76.294	20
MW2	0.18	3477	1188	11.474	1183	2	624700	4	2	49840	-2	0	1	8.651	7.618	-5.729	0.853	0.717	3744	0.079	0	3477	-996.9	1086	-202.3	27860000000	27680000000	6579000000	15870000000	29010000000	29010000000	3.467	4508	26.566	23.522	80.204	0.18	0	0	0.001	94.64	0	0	0	0	0	10.385	17.01	10.026	10.538	1.42E+14	64730000	20.589	0.764386697	3542000000	1036000000	205900000	None	/u/cmoody3/data2/export_sunrise_fits/MW2/MW2_a0.180_0003477_	0.18	39.281	152.6	20
MW2	0.2	3744	1892	1766	2495	2	915700	4	2	190500	-2	0	1	19.247	11.891	-12.032	0.735	0.643	4376	0.048	1	3744	4235	2579	8232	97090000000	96470000000	34230000000	79380000000	1.017E+11	1.017E+11	2.097	14070	27.993	15.479	121.7	0.2	0	0	0.001	153.6	0	0	0	0	0	10.312	15.1	9.998	10.546	1.42E+14	132600000	82.996	0.639618374	19030000000	5023000000	830000000	None	/u/cmoody3/data2/export_sunrise_fits/MW2/MW2_a0.200_0003744_	0.2	43.612	152.6	20
MW2	0.22	4376	185.4	17.954	179.3	2	1344000	4	2	396200	-2	0	1	28.522	3.101	-16.825	0.754	0.695	4535	0.028	0	4376	-393.6	-1310	4625	1.53E+11	1.526E+11	85930000000	1.368E+11	1.55E+11	1.55E+11	1.111	45870	14.677	10.61	139.9	0.22	0	0	0	189.2	0	0	0	0	0	10.299	10.062	9.964	10.515	1.421E+14	217200000	167	0.598743959	42070000000	9918000000	1670000000	None	/u/cmoody3/data2/export_sunrise_fits/MW2/MW2_a0.220_0004376_	0.22	48.032	152.6	20
