sim,aexp,hid,camera,count_reliable,count_allfully,count_all,SD_reliable,SD_reliable_sig,count_SD_reliable,SD_allfully,SD_allfully_sig,count_SD_allfully,SD_all,SD_all_sig,count_SD_all,Irr_reliable,Irr_reliable_sig,Irr_allfully,Irr_allfully_sig,Irr_all,Irr_all_sig,Compact_reliable,Compact_reliable_sig,Compact_allfully,Compact_allfully_sig,Compact_all,Compact_all_sig,Unclass_reliable,Unclass_reliable_sig,Unclass_allfully,Unclass_allfully_sig,Unclass_all,Unclass_all_sig,Inter_reliable,Inter_reliable_sig,Inter_allfully,Inter_allfully_sig,Inter_all,Inter_all_sig,intflag_reliable,intflag_reliable_sig,intflag_allfully,intflag_allfully_sig,intflag_all,intflag_all_sig,pairflag_reliable,pairflag_reliable_sig,pairflag_allfully,pairflag_allfully_sig,pairflag_all,pairflag_all_sig,mergerflag_reliable,mergerflag_reliable_sig,mergerflag_allfully,mergerflag_allfully_sig,mergerflag_all,mergerflag_all_sig,Clumpiness_reliable,Clumpiness_reliable_sig,Clumpiness_allfully,Clumpiness_allfully_sig,BadDeblend_reliable,BadDeblend_reliable_sig,BadDeblend_allfully,BadDeblend_allfully_sig,BadDeblend_all,BadDeblend_all_sig,ImgQualProblem_reliable,ImgQualProblem_reliable_sig,ImgQualProblem_allfully,ImgQualProblem_allfully_sig,ImgQualProblem_all,ImgQualProblem_all_sig,Uncertain_reliable,Uncertain_reliable_sig,Uncertain_allfully,Uncertain_allfully_sig,Uncertain_all,Uncertain_all_sig,Vkcorrect_reliable,Vkcorrect_reliable_sig,Vkcorrect_allfully,Vkcorrect_allfully_sig,Vkcorrect_all,Vkcorrect_all_sig,Zkcorrect_reliable,Zkcorrect_reliable_sig,Zkcorrect_allfully,Zkcorrect_allfully_sig,Zkcorrect_all,Zkcorrect_all_sig,Jkcorrect_reliable,Jkcorrect_reliable_sig,Jkcorrect_allfully,Jkcorrect_allfully_sig,Jkcorrect_all,Jkcorrect_all_sig,TidalArms_reliable,TidalArms_reliable_sig,TidalArms_allfully,TidalArms_allfully_sig,TidalArms_all,TidalArms_all_sig,DoubleNuclei_reliable,DoubleNuclei_reliable_sig,DoubleNuclei_allfully,DoubleNuclei_allfully_sig,DoubleNuclei_all,DoubleNuclei_all_sig,Asymmetric_reliable,Asymmetric_reliable_sig,Asymmetric_allfully,Asymmetric_allfully_sig,Asymmetric_all,Asymmetric_all_sig,SpiralArms_reliable,SpiralArms_reliable_sig,SpiralArms_allfully,SpiralArms_allfully_sig,SpiralArms_all,SpiralArms_all_sig,Bar_reliable,Bar_reliable_sig,Bar_allfully,Bar_allfully_sig,Bar_all,Bar_all_sig,PtSourceContam_reliable,PtSourceContam_reliable_sig,PtSourceContam_allfully,PtSourceContam_allfully_sig,PtSourceContam_all,PtSourceContam_all_sig,EdgeonDisk_reliable,EdgeonDisk_reliable_sig,EdgeonDisk_allfully,EdgeonDisk_allfully_sig,EdgeonDisk_all,EdgeonDisk_all_sig,FaceonDisk_reliable,FaceonDisk_reliable_sig,FaceonDisk_allfully,FaceonDisk_allfully_sig,FaceonDisk_all,FaceonDisk_all_sig,Tadpole_reliable,Tadpole_reliable_sig,Tadpole_allfully,Tadpole_allfully_sig,Tadpole_all,Tadpole_all_sig,Chain_reliable,Chain_reliable_sig,Chain_allfully,Chain_allfully_sig,Chain_all,Chain_all_sig,Comments_combined
MW1,0.280,0001106,0,3.0,3.0,3.0,0.25,0.25,2.0,0.25,0.25,2.0,0.25,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.11800000000000001,0.16699999999999998,0.11800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.280,0001106,1,2.0,2.0,2.0,0.875,0.125,2.0,0.875,0.125,2.0,0.875,0.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.280,0001106,5,2.0,2.0,2.0,0.5,0.5,2.0,0.5,0.5,2.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.280,0001106,6,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.280,0001106,7,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.280,0001106,8,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.300,0001141,0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.300,0001141,1,2.0,2.0,2.0,0.5,0.5,2.0,0.5,0.5,2.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.300,0001141,5,3.0,3.0,3.0,0.33299999999999996,0.47100000000000003,3.0,0.33299999999999996,0.47100000000000003,3.0,0.33299999999999996,0.47100000000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.204,0.25,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.33299999999999996,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
MW1,0.300,0001141,6,2.0,2.0,2.0,0.375,0.375,2.0,0.375,0.375,2.0,0.375,0.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE
