galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
disk VELA02 200 1.558 4.0 0 F160W 17.6660 0.3149 17.1789 1.4497 26.5796 0.4178 4.5431 1.4684 1.93442674523 0.625236563733 1.0000 0.0 0.0307 0.0537 5.5916 3.3059 0.859288341827 -1.850e-04
bulge VELA02 200 1.558 4.0 0 F160W 10.3451 3.8277 14.0873 2.8032 27.4259 29.0416 16.2267 1160.1177 6.90923872836 493.971672755 10.2128 303.1101 0.4562 1.2855 77.9968 147.9573 2.27638843495 -1.850e-04
disk VELA02 200 1.558 4.0 1 F160W 16.2093 2729912.0000 16.9028 13314.2285 27.4586 4339.3457 0.0105 190.5107 0.00447084167747 81.1183978632 1.0000 0.0 0.6120 35784.1992 -71.8007 1457894.0000 0 1.046e-04
bulge VELA02 200 1.558 4.0 1 F160W 16.4736 157389.4688 16.9017 17240.5430 27.4586 7410.3223 0.0105 174.4401 0.00447084167747 74.2756256478 2.5011 90977.6719 0.9994 23547.2988 53.0000 28213600256.0000 0 1.046e-04
disk VELA02 200 1.558 4.0 5 F160W 16.6377 3.3778 17.2789 2.3113 27.4187 3.9574 0.9267 8.4987 0.39458371262 3.61869925374 1.0000 0.0 0.0662 5.5938 14.4908 111.4283 0 -8.844e-05
bulge VELA02 200 1.558 4.0 5 F160W 15.0260 1.8550 14.4369 2.8424 27.1269 2.5298 6.9688 11.8423 2.96727633161 5.04238556163 0.9843 3.3736 0.0244 0.0424 33.6117 8.9173 0 -8.844e-05
disk VELA02 200 1.558 4.0 7 F160W 17.0932 1.1826 20.1937 2.1512 27.2052 0.4956 3.6734 2.7082 1.564113316 1.15313651723 1.0000 0.0 0.1537 0.8767 -14.2164 27.4031 0.650149162819 1.066e-04
bulge VELA02 200 1.558 4.0 7 F160W -9.6787 61246.6055 -61.9721 43221.4180 26.2873 54959.6641 0.0279 8273.4092 0.0118796650287 3522.77168249 13.9184 2141714.5000 0.2699 85901.9062 39.4312 5249278.0000 0 1.066e-04
disk VELA02 210 1.676 3.7619047619 0 F160W 19.2871 175545.0625 16.7008 10972.2773 26.5117 1223.3647 8.490e-03 3.633e+01 0.00370453017378 15.8522474927 1.0000 0.0 0.4966 418.6207 87.3735 1014490.8125 0 2.080e-05
bulge VELA02 210 1.676 3.7619047619 0 F160W 16.9112 7830.9272 16.3867 6316.6777 26.5095 3232.7354 8.185e-03 8.757e+01 0.00357144634539 38.2103306617 2.8508 22999.4590 0.8708 5547.5518 -75.6594 12842522.0000 0 2.080e-05
disk VELA02 210 1.676 3.7619047619 1 F160W 18.4714 0.0463 18.4862 0.5323 26.7875 0.3629 8.1998 2.7341 3.57790418362 1.19299834489 1.0000 0.0 0.0454 0.0120 3.4975 0.3580 1.34960718602 -1.254e-04
bulge VELA02 210 1.676 3.7619047619 1 F160W 15.6958 2870.8525 18.2489 26777.7383 28.1000 18090.1094 0.0114 234.6278 0.00497428079872 102.377593016 3.4223 33656.6797 0.4580 66335.5000 65.5674 1483874.5000 0 -1.254e-04
