galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 200 1.558 4.0 0 F160W 17.1645 0.8138 16.6899 1.4708 26.5131 0.3830 5.0891 3.0018 2.16691051246 1.27814976642 0.4477 0.7627 0.0708 0.3563 17.0483 12.1389 0.431277110414 -7.830e-05
central VELA02 200 1.558 4.0 1 F160W 16.4755 579.6942 16.9036 72814.1641 27.4585 25584.4629 0.0105 615.9292 0.00447084167747 262.259232165 3.1010 88341.0078 0.6122 117391.5859 -71.7688 379996.8125 0 1.046e-04
central VELA02 200 1.558 4.0 5 F160W 16.4308 22.9394 16.8429 4.0239 27.1335 29.8538 1.8004 74.4859 0.76660031963 31.7156824861 0.2529 142.1751 0.0844 773.9841 6.0688 9495.9648 0.590645588678 8.686e-06
central VELA02 200 1.558 4.0 7 F160W 16.5334 1.9595 18.1360 1.5034 26.4266 9.2374 3.4711 66.6982 1.47797509968 28.3997230831 19.6791 398.0009 0.3199 0.7543 -12.4860 47.7753 0.421989771212 2.732e-07
central VELA02 200 1.558 4.0 8 F160W 17.5414 5020.0049 18.1949 2119.2034 26.9967 1509.7262 0.0112 178.6847 0.0047688977893 76.0829527511 2.6554 48107.2773 0.9094 23253.0469 56.6549 45585360.0000 0 -9.523e-05
central VELA02 210 1.676 3.7619047619 0 F160W 17.4134 26.5591 16.7839 90.3906 26.4863 1110.4209 8.801e-03 2.310e+01 0.00384023204469 10.0794637237 7.3611 6271.1694 0.5156 194.8806 86.6812 22760.5566 0 2.217e-05
central VELA02 210 1.676 3.7619047619 1 F160W 18.5780 0.7679 17.8306 2.0696 26.8476 2.8934 3.7128 13.5422 1.62004471487 5.90900924845 4.6809 26.7719 0.0176 0.2058 0.0666 88.5072 0.557338448133 -5.878e-05
central VELA02 210 1.676 3.7619047619 5 F160W 17.5529 98544.8906 18.5970 60705.1602 26.8877 3118.3999 1.000e-02 4.471e+02 0.0043634042094 195.087802202 0.6943 9340.4766 0.6206 441902.0938 38.1136 4261530.5000 0 1.408e-05
central VELA02 210 1.676 3.7619047619 6 F160W 18.4446 0.0000 17.9141 0.0000 26.9856 0.0000 1.000e-02 4.229e-07 0.0043634042094 1.84528364015e-07 0.8516 0.0000 0.5850 0.0000 85.0103 0.0000 0 2.796e-05
central VELA02 210 1.676 3.7619047619 7 F160W 18.6622 0.5661 17.9856 1.5923 26.6680 2.7537 3.6653 2.1525 1.59931854487 0.939222756073 0.4151 3.1009 0.0473 0.9995 -15.8791 15.8617 0.26403634227 4.902e-05
central VELA02 210 1.676 3.7619047619 8 F160W 18.5580 0.9924 18.0204 1.3542 26.4745 0.3673 3.6518 2.5832 1.59342794919 1.12715457537 2.8489 6.6593 0.0947 0.2664 6.7788 10.8454 1.48470549695 -1.179e-04
central VELA02 220 1.796 3.54545454545 5 F160W 16.1018 14393.4492 17.8278 5939.8027 27.6855 6966.6079 8.831e-03 2.199e+01 0.00393990990039 9.81073702973 0.1543 1391.8282 0.6184 209791.0469 -31.4912 1126509.0000 0 3.524e-04
central VELA02 230 1.919 3.34782608696 0 F160W 17.9844 0.8892 18.5752 0.8374 26.3306 0.2566 3.7981 1.6172 1.72900917277 0.736198002739 0.8092 1.2396 0.3812 0.3541 72.6606 21.9315 0.45677393543 8.209e-05
central VELA02 230 1.919 3.34782608696 1 F160W 18.0269 2.3542 18.9254 2.7786 26.6859 1.9308 0.8285 5.0171 0.377158078945 2.283934578 12.5053 112.2927 0.0348 0.2534 -54.7705 24.4461 0 -1.728e-05
central VELA02 230 1.919 3.34782608696 5 F160W 18.6841 0.8502 18.4747 0.7931 26.4243 0.3245 2.2680 1.2905 1.03246170555 0.587474352297 0.0623 4.0477 0.7855 0.6534 58.6951 127.8630 0.406818438943 9.726e-05
central VELA02 230 1.919 3.34782608696 6 F160W 18.7528 1.6000 17.9876 3.9398 26.4078 0.8465 2.3330 6.2240 1.06205165743 2.83335169988 9.3136 46.6593 0.0419 0.3172 -28.0935 12.4552 0 6.991e-05
central VELA02 230 1.919 3.34782608696 7 F160W 18.4988 0.6970 18.6430 0.7069 26.4889 0.3478 2.5521 1.7193 1.16179255676 0.78267698869 0.5585 2.0457 0.4646 0.6469 -56.3507 46.1238 0.352042124282 1.200e-04
central VELA02 230 1.919 3.34782608696 8 F160W 18.7425 0.7354 18.4573 0.9524 26.4033 0.3366 2.7923 2.5189 1.2711388097 1.1466789198 0.0880 2.9488 0.2256 0.8983 -14.7842 48.1288 0.266645746353 1.421e-04
central VELA02 240 2.044 3.16666666667 0 F160W 18.8292 0.0000 19.6942 0.0000 26.0347 0.0000 1.000e-02 4.510e-07 0.00463614061959 2.09089941943e-07 0.7212 0.0000 0.5838 0.0000 -13.5716 0.0000 0 9.683e-06
central VELA02 240 2.044 3.16666666667 1 F160W 17.7645 0.7161 18.9613 0.7130 25.9774 0.2308 3.1492 1.5942 1.46001340392 0.739093537575 1.7978 3.0319 0.5046 0.3155 45.4057 27.1861 0.289074325538 -2.576e-04
central VELA02 240 2.044 3.16666666667 5 F160W 18.6642 0.6455 18.7991 0.9394 25.9055 0.2339 3.5855 1.4491 1.66228821915 0.671823137184 0.4688 0.8334 0.3439 0.3414 -21.8808 18.7314 0.301846673847 -7.615e-05
central VELA02 240 2.044 3.16666666667 6 F160W 18.5225 260.5667 18.9980 84.7262 26.2387 5123.5723 0.0102 129.2337 0.00472886343198 59.914560599 5.0579 23977.1523 0.6010 879.5563 15.5274 169199.8594 0 -8.947e-05
central VELA02 240 2.044 3.16666666667 7 F160W 19.2184 0.0000 19.0630 0.0000 26.3266 0.0000 0.0104 0.0000 0.00482158624437 0.0 1.6072 0.0000 0.9683 0.0000 -54.7897 0.0000 0 -1.217e-05
central VELA02 240 2.044 3.16666666667 8 F160W 19.4737 0.0000 19.1346 0.0000 26.3287 0.0000 0.0164 0.0000 0.00760327061612 0.0 1.8718 0.0000 0.9410 0.0000 53.3123 0.0000 0 -1.106e-05
central VELA02 250 2.171 3.0 0 F160W 18.8847 0.8389 19.1316 1.0514 25.9235 0.2257 3.8324 1.4051 1.80627273431 0.662246586728 0.6055 0.7277 0.5714 0.2271 -13.1207 27.9709 0.343064830584 2.082e-04
central VELA02 250 2.171 3.0 1 F160W 20.1551 15.2254 20.2448 278.3832 26.4332 4462.1226 0.0106 48.8879 0.00499595318434 23.0416660076 3.2679 15915.6416 0.9226 16708.7617 -31.0065 4062175.2500 0 2.325e-04
central VELA02 250 2.171 3.0 5 F160W 18.6069 0.8618 19.6842 0.7349 24.6788 6.1323 30.5028 433.2833 14.3764679992 204.213498336 9.7872 50.2521 0.5681 0.2221 -55.4516 20.5318 2.8781031125 -3.338e-04
central VELA02 250 2.171 3.0 6 F160W 19.5411 1.2123 19.1693 0.9002 25.0283 5.9808 29.5090 463.5532 13.9080738223 218.48019676 11.8120 69.0872 0.3713 0.1810 -60.2138 15.4121 2.43378017922 -2.426e-04
central VELA02 250 2.171 3.0 7 F160W 18.5266 0.9848 19.3507 0.6432 25.9516 0.2496 3.2836 1.6053 1.54761432793 0.756604117625 2.9146 4.7120 0.1058 0.2377 -67.5074 8.4647 0.299475410625 1.658e-04
central VELA02 250 2.171 3.0 8 F160W 18.6011 0.7734 19.7418 0.7171 25.9077 0.2195 3.8245 1.2445 1.80254933524 0.586553182822 0.9820 1.1072 0.5359 0.2274 60.9439 23.1421 0.315727297465 2.004e-04
central VELA02 260 2.301 2.84615384615 0 F160W 19.6173 0.7486 19.3510 0.7194 25.6502 0.2313 2.9780 1.2059 1.4245410569 0.576848240605 0.4437 0.8048 0.7662 0.3158 69.8660 62.8074 0.20843819464 -4.551e-05
central VELA02 260 2.301 2.84615384615 1 F160W 20.2495 0.8506 19.2622 0.5170 25.7762 0.4505 3.4106 1.5707 1.63147741057 0.751352128301 0.1067 1.1109 0.6220 0.2988 -86.4935 33.9710 0.348984706636 -1.641e-04
central VELA02 260 2.301 2.84615384615 5 F160W 19.1578 0.7443 19.8073 0.6496 25.6012 0.2224 2.8272 0.9040 1.35240512964 0.432432879597 1.3011 1.6988 0.6437 0.3548 71.5256 37.8219 0.240414858189 -1.719e-04
central VELA02 260 2.301 2.84615384615 6 F160W 19.3396 204.7220 19.6491 165.5441 26.1455 3257.6077 0.0140 160.1887 0.0066969693743 76.6270584292 3.8440 19444.0020 0.9051 3295.5342 -24.1914 1038155.1875 0 -1.194e-04
central VELA02 260 2.301 2.84615384615 7 F160W 19.3585 0.6916 19.7959 0.9071 25.6959 0.2123 3.2495 1.1297 1.55441442727 0.54039759301 1.1865 1.4398 0.4820 0.2858 12.3351 22.6555 0.24583114602 -1.039e-04
central VELA02 260 2.301 2.84615384615 8 F160W 19.0443 0.0000 19.9285 0.0000 26.1118 0.0000 1.000e-02 4.670e-07 0.00478354955307 2.23391764128e-07 1.9133 0.0000 0.6579 0.0000 -81.3233 0.0000 0 1.364e-04
central VELA02 270 2.434 2.7037037037 0 F160W 20.0225 0.7512 19.4455 0.6351 25.5354 0.1900 3.5346 0.8762 1.71338795855 0.424735621931 1.2010 1.2870 0.6112 0.2620 62.1798 29.3310 0.266465502852 -8.472e-05
central VELA02 270 2.434 2.7037037037 1 F160W 19.7487 7643.8818 19.4810 4122.7207 26.0473 2549.9299 0.0257 132.6639 0.0124580067149 64.3084730362 2.0483 4059.4695 0.0430 302.5023 -32.6439 6027.2759 0 1.238e-05
central VELA02 270 2.434 2.7037037037 5 F160W 19.0611 3.9688 20.0727 0.7256 25.8778 0.6112 1.5182 2.0661 0.735943416133 1.00153648536 4.7359 13.2733 0.0422 0.1996 -72.8825 8.4046 0 5.811e-06
central VELA02 270 2.434 2.7037037037 6 F160W 19.7540 820331.2500 19.8763 17645288.0000 26.0617 1695.1321 0.0721 2442431.0000 0.0349502834298 1183961.9377 0.6494 2393728.2500 0.7872 56881716.0000 -73.1971 19024361472.0000 0 -7.215e-05
central VELA02 270 2.434 2.7037037037 7 F160W 19.1753 0.9300 19.9430 0.7533 25.6327 0.2039 3.5790 1.2615 1.73491074057 0.611508773187 0.3708 0.5894 0.6986 0.2384 -76.2481 40.8355 0.292528371477 -3.741e-05
central VELA02 270 2.434 2.7037037037 8 F160W 19.2671 1.0005 19.6048 0.6585 25.7277 0.2143 3.7610 1.3832 1.823134757 0.670502524829 0.8230 0.9241 0.2636 0.3347 -80.8020 14.9837 0.237789625148 -9.297e-05
central VELA02 280 2.568 2.57142857143 0 F160W 20.7967 0.6084 20.6610 0.6808 25.4531 0.1960 3.7589 1.1491 1.8437793058 0.563645428261 0.5534 0.4957 0.7753 0.2264 27.2385 44.7844 0.279317495821 2.728e-04
central VELA02 280 2.568 2.57142857143 1 F160W 20.2176 577262.3125 21.1165 15849.3330 26.1055 6761.9521 1.000e-02 2.384e+02 0.00490510337013 116.937664344 0.7199 44767.7305 0.9376 2341.2986 30.8425 440897920.0000 0 2.324e-04
central VELA02 280 2.568 2.57142857143 5 F160W 21.3226 0.7915 19.9847 0.6501 25.3977 0.1976 4.0449 1.1930 1.98406526218 0.585178832056 0.2554 0.4465 0.6831 0.1578 68.2251 30.8695 0.28026218714 -1.098e-05
central VELA02 280 2.568 2.57142857143 6 F160W 21.4137 1.0246 20.2921 0.5803 25.5195 0.2033 4.7671 1.4068 2.33831182757 0.69004994211 0.5301 0.5469 0.2287 0.2090 77.7442 10.1461 0.290354270053 -7.473e-05
central VELA02 280 2.568 2.57142857143 7 F160W 20.1290 0.6776 19.7692 0.5772 25.2618 0.1642 3.9538 1.0929 1.93937977048 0.536078747321 1.4431 1.4432 0.6565 0.2103 54.0066 25.5432 0.239027408718 -8.998e-05
central VELA02 280 2.568 2.57142857143 8 F160W 20.0903 0.7859 19.2951 0.7617 25.3595 0.1815 3.8380 1.1749 1.88257867345 0.576300594956 0.1738 0.4466 0.8969 0.2027 -59.0318 101.2776 0.216231628104 1.076e-04
central VELA02 290 2.704 2.44827586207 0 F160W 22.2991 0.8292 20.7595 0.8117 25.2941 0.1920 4.6045 1.0706 2.28226759008 0.530653856433 0.4812 0.3789 0.8105 0.1540 -26.4064 40.7242 0.381032861443 1.244e-04
central VELA02 290 2.704 2.44827586207 1 F160W 21.5223 88.9456 21.1507 83.7651 26.1040 7920.4448 0.0101 236.5467 0.00500616845691 117.246794864 4.9727 45467.4570 0.9973 643.3533 -78.9185 17061394.0000 0 2.538e-04
central VELA02 290 2.704 2.44827586207 5 F160W 21.5604 3.8628 21.6104 3.9738 25.6997 25.3813 0.0144 1.5783 0.00713750750293 0.782300561935 19.6350 714.6332 0.9969 8.1327 -76.1780 78062.3047 0 2.776e-04
central VELA02 290 2.704 2.44827586207 6 F160W 21.6461 2519.6960 20.3931 27958.9707 26.0269 2521.1870 9.655e-03 5.637e+01 0.00478559964866 27.9403679125 2.4549 30154.9707 0.7133 6367.9380 77.7894 3101104.0000 0 1.958e-04
other VELA02 290 2.704 2.44827586207 6 F160W 29.0329 1.2245 37.3511 1.5610 26.7722 0.3725 0.6330 1.4881 0.313752933983 0.737592007993 4.2752 27.3674 0.8947 2.8211 87.3935 852.5289 0.819067497367 1.958e-04
central VELA02 290 2.704 2.44827586207 7 F160W 22.2695 0.6683 21.7786 0.5363 25.2007 0.1946 4.4952 1.1108 2.2280919255 0.550579398212 0.2314 0.3644 0.6471 0.1548 -58.3865 22.4051 0.241486259495 1.382e-05
central VELA02 290 2.704 2.44827586207 8 F160W 22.2480 0.6200 21.9738 0.6345 25.1749 0.1937 4.6140 1.1175 2.2869763624 0.553900321842 0.2648 0.3801 0.7232 0.1555 -48.9457 29.4613 0.266230338391 2.983e-05
central VELA02 300 2.842 2.33333333333 0 F160W 20.9411 0.6082 21.7300 0.5682 24.9570 0.1819 5.2698 1.0115 2.63602190038 0.505965340665 0.4856 0.2967 0.6540 0.1382 -48.0014 17.1910 0.267969163903 4.062e-04
central VELA02 300 2.842 2.33333333333 1 F160W 23.3482 0.9443 22.1448 0.5504 25.1527 0.1951 4.7711 1.1972 2.38656573094 0.598854874784 0.8825 0.5097 0.3396 0.1483 -86.2990 9.6987 0.235833096136 3.648e-04
central VELA02 300 2.842 2.33333333333 5 F160W 21.7215 0.7690 21.7825 0.5947 24.9681 0.1678 4.4418 0.9833 2.22184562547 0.491859337099 0.7197 0.4228 0.6026 0.1409 81.5314 17.3472 0.240390875601 3.625e-04
central VELA02 300 2.842 2.33333333333 6 F160W 21.4005 0.9119 21.9542 0.5442 25.2522 0.1984 4.3930 1.1964 2.19743523632 0.59845470447 0.9144 0.6789 0.3637 0.1545 73.7979 12.2048 0.239268744664 2.829e-04
