galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
disk VELA02 200 1.558 4.0 0 F160W 299.6986 0.0586 294.2101 0.0987 20.2601 0.0034 33.7684 0.0981 33.7684 0.0981 1.0000 0.0 0.5304 0.0017 -14.5258 0.1616 0.4566374952 0.000e+00
bulge VELA02 200 1.558 4.0 0 F160W 291.0874 0.0437 305.5643 0.0278 21.5819 0.0093 18.1384 0.1313 18.1384 0.1313 2.4155 0.0176 0.6810 0.0059 49.4098 0.8764 0.426102157023 0.000e+00
disk VELA02 200 1.558 4.0 1 F160W 300.8402 0.0425 307.5515 0.0519 20.0611 0.0028 26.9908 0.0676 26.9908 0.0676 1.0000 0.0 0.8005 0.0019 -25.8953 0.3908 0.481002339182 0.000e+00
bulge VELA02 200 1.558 4.0 1 F160W 443.3780 21.6385 322.5853 3.5439 22.4309 0.7441 3021.6482 2081.3086 3021.6482 2081.3086 2.0280 0.5837 0.3928 0.0228 88.1446 1.6494 0.668214212984 0.000e+00
disk VELA02 200 1.558 4.0 5 F160W 299.0818 0.0430 305.0623 0.0508 20.1313 0.0029 26.8709 0.0613 26.8709 0.0613 1.0000 0.0 0.7693 0.0019 20.5485 0.3598 0.443687154219 0.000e+00
bulge VELA02 200 1.558 4.0 5 F160W 294.5845 0.0127 298.7714 0.0167 22.6063 0.0222 10.7558 0.1640 10.7558 0.164 5.2510 0.1069 0.9389 0.0116 -28.7198 6.1470 0.365099300556 0.000e+00
disk VELA02 200 1.558 4.0 6 F160W 307.0718 0.1072 311.8015 0.1577 20.6302 0.0147 27.7548 0.0754 27.7548 0.0754 1.0000 0.0 0.8332 0.0029 -77.4526 1.0835 0.512624209123 0.000e+00
bulge VELA02 200 1.558 4.0 6 F160W 299.9210 0.0677 297.1494 0.0696 20.9396 0.0204 23.1830 0.1429 23.183 0.1429 1.5317 0.0092 0.8436 0.0054 68.6477 1.6917 0.492673218006 0.000e+00
disk VELA02 200 1.558 4.0 7 F160W 300.0901 0.0423 304.1719 0.0403 20.0537 0.0028 26.3775 0.0667 26.3775 0.0667 1.0000 0.0 0.8795 0.0021 53.2566 0.6746 0.475420255006 0.000e+00
bulge VELA02 200 1.558 4.0 7 F160W 300.5212 0.0042 302.5240 0.0404 23.7782 0.2617 461.6383 558.7886 461.6383 558.7886 19.5588 6.4917 0.6372 0.0128 -49.0792 1.7680 0.677575934602 0.000e+00
