galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 200 1.558 4.0 0 F160W 297.9288 0.0441 297.2808 0.0708 20.0220 0.0030 31.0039 0.0844 31.0039 0.0844 0.9910 0.0042 0.6103 0.0016 -8.9546 0.1829 0.501335616722 0.000e+00
central VELA02 200 1.558 4.0 1 F160W 300.7956 0.0444 307.5813 0.0538 20.0587 0.0028 27.0804 0.0689 27.0804 0.0689 0.9469 0.0046 0.8046 0.0019 -25.3760 0.4010 0.474567245032 0.000e+00
central VELA02 200 1.558 4.0 5 F160W 298.4775 0.0409 304.1196 0.0518 20.0444 0.0027 26.4873 0.0661 26.4873 0.0661 1.0558 0.0042 0.7716 0.0017 19.6116 0.3284 0.465806320134 0.000e+00
central VELA02 200 1.558 4.0 6 F160W 303.1189 0.0543 306.8015 0.0453 20.0480 0.0030 28.5781 0.0719 28.5781 0.0719 0.8496 0.0037 0.8753 0.0022 -61.7782 0.7106 0.537847213844 0.000e+00
central VELA02 200 1.558 4.0 7 F160W 300.1765 0.0416 303.8588 0.0388 20.0397 0.0028 26.2495 0.0700 26.2495 0.07 1.0885 0.0047 0.8874 0.0021 52.2554 0.7147 0.473389022782 0.000e+00
central VELA02 200 1.558 4.0 8 F160W 300.3135 0.0380 303.9861 0.0420 20.0584 0.0028 26.3001 0.0700 26.3001 0.07 1.0593 0.0046 0.8850 0.0021 43.0275 0.6844 0.480389687556 0.000e+00
central VELA02 210 1.676 3.7619047619 0 F160W 299.9115 0.0539 298.0916 0.0616 19.9463 0.0032 28.5954 0.0897 28.5954 0.0897 1.2517 0.0040 0.8820 0.0022 19.1460 0.7712 0.411026829161 0.000e+00
central VELA02 210 1.676 3.7619047619 1 F160W 301.3863 0.0845 299.4906 0.0584 20.2094 0.0036 31.0442 0.1004 31.0442 0.1004 1.1314 0.0047 0.7244 0.0024 89.0897 0.3480 0.451881073751 0.000e+00
central VELA02 210 1.676 3.7619047619 5 F160W 300.2181 0.0439 297.6400 0.0436 19.9790 0.0032 26.9106 0.0859 26.9106 0.0859 1.2131 0.0046 0.9809 0.0022 -56.0862 5.1416 0.424334727193 0.000e+00
central VELA02 210 1.676 3.7619047619 6 F160W 299.0133 0.0715 299.0936 0.0584 20.2754 0.0036 29.1294 0.0933 29.1294 0.0933 1.0489 0.0042 0.7979 0.0026 -61.1195 0.5321 0.4536118481 0.000e+00
central VELA02 210 1.676 3.7619047619 7 F160W 301.3390 0.0734 298.3257 0.0647 20.0192 0.0035 28.6154 0.0940 28.6154 0.094 1.0864 0.0040 0.9146 0.0026 78.0673 1.2015 0.421385954925 0.000e+00
central VELA02 210 1.676 3.7619047619 8 F160W 301.0847 0.0690 298.2236 0.0615 20.0082 0.0034 28.1395 0.0911 28.1395 0.0911 1.0987 0.0036 0.9313 0.0024 71.9517 1.4878 0.424866846609 0.000e+00
central VELA02 220 1.796 3.54545454545 0 F160W 300.6998 0.0327 300.1539 0.0346 20.0743 0.0025 25.5710 0.0623 25.571 0.0623 1.3149 0.0037 0.9366 0.0020 8.8573 1.1823 0.373906743232 0.000e+00
central VELA02 220 1.796 3.54545454545 1 F160W 297.8902 0.0526 300.7392 0.0307 20.3257 0.0024 29.8521 0.0680 29.8521 0.068 1.2584 0.0034 0.6240 0.0015 89.2988 0.1588 0.394528258397 0.000e+00
central VELA02 220 1.796 3.54545454545 5 F160W 300.3531 0.0408 299.6043 0.0384 20.1072 0.0025 24.4670 0.0582 24.467 0.0582 1.2086 0.0033 0.9770 0.0021 21.0158 3.4592 0.395469057875 0.000e+00
central VELA02 220 1.796 3.54545454545 6 F160W 299.4006 0.0542 299.7392 0.0350 20.3004 0.0025 28.4346 0.0658 28.4346 0.0658 1.1432 0.0029 0.6856 0.0016 -84.3555 0.2104 0.418795673623 0.000e+00
central VELA02 220 1.796 3.54545454545 7 F160W 301.1451 0.0387 300.4163 0.0357 20.0895 0.0025 25.2239 0.0614 25.2239 0.0614 1.3854 0.0035 0.9162 0.0020 -85.0239 0.8868 0.365979644627 0.000e+00
central VELA02 220 1.796 3.54545454545 8 F160W 301.1713 0.0418 300.2750 0.0385 20.0913 0.0025 25.2288 0.0615 25.2288 0.0615 1.3423 0.0037 0.9173 0.0021 84.1107 0.9244 0.369408964308 0.000e+00
central VELA02 230 1.919 3.34782608696 0 F160W 300.8265 0.0535 303.3672 0.0479 19.7510 0.0028 28.7913 0.0731 28.7913 0.0731 1.0551 0.0035 0.9219 0.0021 60.8686 1.1032 0.397958296185 0.000e+00
