filename type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
string enum enum numeric numeric numeric enum enum
VELA02_a0.200_0008223__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 200 1.558 4.0 0 F160W 16.9835 0.1508 16.8579 0.1995 26.7576 0.0555 2.5628 0.4008 1.09122600486 0.170658413746 1.7904 0.9119 0.3804 0.1082 -10.0457 6.3090 0.748923879676 2.809e-06
VELA02_a0.200_0008223__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 200 1.558 4.0 1 F160W 17.0387 0.1307 17.6775 0.1668 26.8388 0.0553 1.7498 0.2347 0.745055120689 0.0999339563526 1.2823 0.7482 0.5998 0.1264 -20.9879 14.5967 0.543545537003 -4.243e-06
VELA02_a0.200_0008223__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 200 1.558 4.0 5 F160W 16.8019 0.1215 17.3470 0.1487 26.7914 0.0569 1.5826 0.2480 0.673862289406 0.105597022477 1.2704 0.8753 0.5600 0.1306 20.9301 11.4482 0.523770842615 -7.646e-06
VELA02_a0.200_0008223__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 200 1.558 4.0 7 F160W 16.8004 0.1643 17.3642 0.1223 26.8263 0.0494 1.8482 0.3003 0.786953294124 0.127866071976 1.7069 0.9189 0.7046 0.1156 -5.0798 17.4928 0.472815246002 -1.295e-05
VELA02_a0.200_0008223__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 200 1.558 4.0 8 F160W 17.1984 0.1102 17.3499 0.1177 26.8704 0.0560 1.2415 0.2318 0.528623804055 0.0986991524607 1.4460 1.1100 0.8899 0.2284 8.3955 80.0192 0.533364236554 -1.199e-06
VELA02_a0.210_0006938__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 0 F160W 18.0065 0.1073 17.2152 0.1317 26.5517 0.0430 2.2755 0.2242 0.992892627849 0.0978275223747 0.9264 0.4233 0.7190 0.0850 36.6980 13.3534 0.528668011828 3.683e-06
VELA02_a0.210_0006938__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 1 F160W 17.8397 0.1545 17.9601 0.1945 26.7860 0.0531 2.7090 0.3471 1.18204620033 0.151453760108 1.4195 0.6585 0.5847 0.1007 -29.4215 11.2833 1.05193054918 6.687e-06
VELA02_a0.210_0006938__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 5 F160W 17.9776 0.1518 17.9809 0.1810 26.5933 0.0449 2.6910 0.2240 1.17419207275 0.0977402542905 0.9047 0.3699 0.6735 0.0873 -27.0885 10.8248 0.688226308797 -5.443e-06
VELA02_a0.210_0006938__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 6 F160W 17.9867 0.1367 17.9557 0.1930 26.7674 0.0797 2.7329 0.4390 1.19247473639 0.191553444793 1.9442 1.0250 0.5202 0.1041 -22.6292 8.7817 0.62069696724 -1.327e-05
VELA02_a0.210_0006938__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 7 F160W 17.9214 0.1315 17.8094 0.1757 26.5523 0.0513 3.0463 0.3759 1.32922382431 0.164020364231 1.4482 0.5481 0.5942 0.0801 -21.8123 8.5039 0.649473053189 -9.543e-06
VELA02_a0.210_0006938__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 210 1.676 3.7619047619 8 F160W 18.1013 0.1356 17.8920 0.1308 26.5296 0.0496 2.3473 0.3067 1.02422187007 0.133825607102 1.4542 0.6248 0.7890 0.0978 -42.8384 20.7876 0.649260199608 -1.759e-06
VELA02_a0.220_0007534__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 220 1.796 3.54545454545 5 F160W 17.7031 0.4520 17.9652 0.4612 26.8229 3.7318 0.0327 0.5669 0.0145889541097 0.252919819107 19.9997 140.6418 0.3256 0.7515 37.9711 44.7691 0 1.974e-05
VELA02_a0.230_0007037__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 230 1.919 3.34782608696 0 F160W 18.7048 0.1161 18.8525 0.1372 26.4179 0.0503 2.4590 0.2266 1.11941064107 0.103155124549 0.6872 0.2801 0.8586 0.0800 76.5212 24.2633 0.670096567882 -1.511e-05
VELA02_a0.230_0007037__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 230 1.919 3.34782608696 1 F160W 18.2829 0.1356 18.6703 0.1160 26.8609 0.0682 2.0488 0.3262 0.932675283213 0.148496035428 1.1772 0.7242 0.4610 0.1043 -77.8160 8.2671 0.815748662899 -7.703e-07
VELA02_a0.230_0007037__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 230 1.919 3.34782608696 5 F160W 18.7350 0.1159 18.7411 0.1317 26.3377 0.0388 2.2866 0.1653 1.04092898409 0.0752495237774 0.7576 0.3121 0.8850 0.0788 64.5749 28.6331 0.576566938818 -1.406e-05
VELA02_a0.230_0007037__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 230 1.919 3.34782608696 6 F160W 18.6851 0.1390 18.6185 0.1105 26.6809 0.0455 1.8420 0.2668 0.838533713237 0.121455371711 1.5062 0.7271 0.5661 0.1122 89.7351 11.0419 0.406208021633 -1.037e-05
