galfit result file run on 07-11-2014
galaxyID timeStep age(GYr) camera filter px py mag rad sersicIndex b/a angle
VELA02MRP 201015 101.068 cam0 F160W 301.1371 149.6046 23.8722 7205.6050 10.6575 0.7595 41.1923
VELA02MRP 201015 101.068 cam0 F160W 424.2910 408.2924 25.1360 13.5818 2.8075 0.6669 -0.5551
VELA02MRP 201015 101.068 cam0 F160W 208.3244 139.0309 26.6071 4.0529 3.7367 0.7202 54.8420
VELA02MRP 201015 101.068 cam0 F160W 288.1808 339.5310 21.8592 17.9689 0.7657 0.5970 75.8811
VELA02MRP 201015 101.068 cam0 F160W 304.7370 298.2692 21.1554 36.2091 1.1381 0.6035 -31.8432
VELA02MRP 201015 101.068 cam1 F160W 429.2233 148.0593 24.8880 1602.7657 11.3527 0.4267 -71.3945
VELA02MRP 201015 101.068 cam1 F160W 108.0646 273.6143 24.3770 1994.5699 19.9984 0.4134 16.3028
VELA02MRP 201015 101.068 cam1 F160W 292.1212 305.6796 21.3046 52.6753 0.6234 0.4546 74.2801
VELA02MRP 201015 101.068 cam1 F160W 335.0043 302.1595 21.7517 19.9091 1.1629 0.6762 -8.2207
VELA02MRP 201015 101.068 cam5 F160W 297.2281 303.7668 20.6958 36.9106 0.4226 0.5444 51.6822
VELA02MRP 201015 101.068 cam6 F160W 472.9251 144.6614 24.8186 1409.7604 9.8510 0.2732 -61.6952
VELA02MRP 201015 101.068 cam6 F160W 119.9933 253.5092 23.6658 2211.1575 20.0000 0.5964 44.5694
VELA02MRP 201015 101.068 cam6 F160W 150.0356 211.3911 25.2019 1236.2435 17.9774 0.6644 -15.7232
VELA02MRP 201015 101.068 cam6 F160W 345.1851 291.8597 22.0021 19.4524 1.4831 0.9522 -59.5756
VELA02MRP 201015 101.068 cam6 F160W 309.9754 329.2102 21.4618 22.3632 0.9982 0.5924 4.1607
VELA02MRP 201015 101.068 cam7 F160W 198.9397 368.4740 23.0139 11887.6025 5.1359 0.4440 -3.0700
VELA02MRP 201015 101.068 cam7 F160W 422.7801 302.0758 26.6893 12.4573 9.1242 0.6107 -67.3562
VELA02MRP 201015 101.068 cam7 F160W 303.6129 304.7693 21.1629 35.7508 0.7041 0.7751 6.0969
VELA02MRP 201015 101.068 cam7 F160W 265.8206 302.3885 21.7355 29.2090 0.5421 0.2207 35.2041
VELA02MRP 201015 101.068 cam8 F160W 413.5143 307.4761 25.2621 23.5358 19.9462 0.3911 20.3099
VELA02MRP 201015 101.068 cam8 F160W 304.6539 304.9755 21.1107 34.9380 0.6813 0.7702 10.9778
VELA02MRP 201015 101.068 cam8 F160W 267.0320 302.5708 21.7147 28.7652 0.5477 0.2248 36.8749
VELA02MRP 202199 101.167 cam0 F160W 195.2496 182.5604 26.8402 0.0100 19.9934 0.5937 -22.0534
VELA02MRP 202199 101.167 cam0 F160W 237.2843 128.3840 25.7688 6.1659 4.1273 0.4037 67.5030
VELA02MRP 202199 101.167 cam0 F160W 280.4857 351.2591 22.3768 7.8886 0.9346 0.9605 3.2841
VELA02MRP 202199 101.167 cam0 F160W 292.4984 320.1194 21.0444 28.6222 1.0775 0.8535 44.5761
VELA02MRP 202199 101.167 cam1 F160W 116.1775 276.0931 24.8857 1469.7655 19.9839 0.3065 69.4884
VELA02MRP 202199 101.167 cam1 F160W 310.7496 306.3308 21.1211 30.2952 0.9031 0.7595 -67.9247
VELA02MRP 202199 101.167 cam1 F160W 346.6380 304.4172 21.2117 19.7828 0.7991 0.7183 33.5098
VELA02MRP 202199 101.167 cam5 F160W 292.5619 303.5010 20.3864 36.1142 0.5616 0.4628 54.3878
VELA02MRP 202199 101.167 cam6 F160W 322.9698 317.9268 20.5874 35.1415 0.6649 0.5725 46.9172
VELA02MRP 202199 101.167 cam7 F160W 320.9056 299.3677 21.5815 33.3961 1.0371 0.7636 -9.0499
VELA02MRP 202199 101.167 cam7 F160W 277.8404 301.6387 20.8992 34.6222 0.4413 0.4746 38.3159
VELA02MRP 202199 101.167 cam7 F160W 253.4127 296.3928 22.2722 18.1182 0.3709 0.2827 32.2506
VELA02MRP 202199 101.167 cam8 F160W 348.8138 365.0944 24.1977 31.0344 4.1719 0.7170 47.9778
VELA02MRP 202199 101.167 cam8 F160W 287.1387 298.5067 20.5472 35.2672 0.6311 0.5910 49.2466
VELA02MRP 202199 101.167 cam8 F160W 252.5823 299.4365 22.4368 15.4706 0.6275 0.2579 29.6957
VELA02MRP 203203 101.250 cam0 F160W 270.9001 140.7249 23.8954 632.0105 19.9752 0.9295 -40.5596
VELA02MRP 203203 101.250 cam0 F160W 296.9241 357.5709 21.1828 27.4102 0.7266 0.6125 -75.1135
VELA02MRP 203203 101.250 cam0 F160W 307.7719 311.5935 20.5805 27.5276 1.2089 0.8759 -10.4356
VELA02MRP 203203 101.250 cam5 F160W 300.6624 300.4916 20.3500 29.8893 1.0014 0.6828 54.5145
VELA02MRP 203203 101.250 cam5 F160W 265.9779 297.3229 21.5448 22.5341 0.9395 0.3640 70.6143
VELA02MRP 203203 101.250 cam6 F160W 184.3686 217.5505 24.1784 9111.4453 19.9998 0.5326 67.3071
VELA02MRP 203203 101.250 cam6 F160W 328.1346 322.9771 20.7086 32.9324 0.4462 0.6287 43.6084
VELA02MRP 203203 101.250 cam6 F160W 301.8783 306.7552 20.8709 28.2423 1.0220 0.7658 26.2988
VELA02MRP 203203 101.250 cam7 F160W 298.7340 296.8279 20.5032 25.6234 1.0096 0.7927 36.4394
VELA02MRP 203203 101.250 cam7 F160W 252.1854 290.3695 21.1312 33.3157 0.5109 0.3302 40.4605
VELA02MRP 203203 101.250 cam7 F160W 342.4900 335.2895 23.1905 20.8573 2.5433 0.5987 73.2962
VELA02MRP 203203 101.250 cam8 F160W 299.0362 296.9662 20.5044 25.8484 0.8842 0.7669 40.3820
VELA02MRP 203203 101.250 cam8 F160W 253.5502 290.6273 21.1509 33.2278 0.5714 0.3214 42.6129
VELA02MRP 203203 101.250 cam8 F160W 340.6701 336.7975 23.1937 17.8095 2.8656 0.7483 46.4911
VELA02MRP 204229 101.335 cam1 F160W 149.2274 262.2139 24.5383 288.3652 19.9183 0.5678 -0.3993
VELA02MRP 204229 101.335 cam1 F160W 289.2853 299.0865 20.5598 24.5503 0.9045 0.7747 -70.5951
VELA02MRP 204229 101.335 cam1 F160W 340.8185 300.4561 20.7874 21.1101 1.3017 0.8120 -50.6785
VELA02MRP 204229 101.335 cam5 F160W 283.5324 297.9357 20.3380 31.9085 0.6437 0.6453 39.8284
VELA02MRP 204229 101.335 cam5 F160W 324.7793 292.7220 21.3014 20.3733 1.0209 0.7439 -13.2772
VELA02MRP 204229 101.335 cam6 F160W 220.2671 226.2810 24.9607 35.8829 3.2831 0.7517 88.5951
VELA02MRP 204229 101.335 cam6 F160W 314.9260 300.6742 20.2069 29.4719 0.4723 0.9233 0.9921
VELA02MRP 204229 101.335 cam6 F160W 267.4585 313.5258 21.6753 16.3353 2.2765 0.6092 84.2188
VELA02MRP 204229 101.335 cam7 F160W 291.3768 319.4791 21.4365 20.3800 1.4173 0.6675 26.1074
VELA02MRP 204229 101.335 cam7 F160W 268.9634 287.4745 20.8701 29.4626 0.8061 0.5870 46.7548
VELA02MRP 204229 101.335 cam7 F160W 324.8126 290.5639 21.1696 21.2035 1.1795 0.7633 -33.7159
VELA02MRP 204229 101.335 cam8 F160W 289.0007 318.6995 21.4357 20.9300 1.4808 0.7465 29.4543
VELA02MRP 204229 101.335 cam8 F160W 270.2265 286.9552 20.9188 29.0412 0.8579 0.5534 47.5028
VELA02MRP 204229 101.335 cam8 F160W 324.2509 291.1284 21.1455 20.9609 1.0364 0.7925 -30.2619
VELA02MRP 205282 101.422 cam0 F160W 305.8155 304.4093 19.7162 34.8544 0.8073 0.6520 -2.2718
VELA02MRP 205282 101.422 cam1 F160W 231.4921 259.5753 22.8003 21.5700 1.8746 0.8427 44.3193
VELA02MRP 205282 101.422 cam1 F160W 296.2769 322.6337 20.9351 22.3748 1.1336 0.4229 -24.4464
VELA02MRP 205282 101.422 cam1 F160W 306.4158 304.7649 20.1237 33.4905 0.9060 0.5413 -80.5821
VELA02MRP 205282 101.422 cam5 F160W 295.2318 306.3650 19.7714 30.1805 0.8610 0.7456 44.3988
VELA02MRP 205282 101.422 cam6 F160W 293.9832 305.1789 19.8992 30.7949 0.9930 0.7250 84.1677
VELA02MRP 205282 101.422 cam7 F160W 298.9815 305.9420 19.8663 34.6448 0.8467 0.7001 82.7180
VELA02MRP 205282 101.422 cam8 F160W 298.6534 305.6047 19.8675 34.5220 0.7942 0.7024 82.4976
VELA02MRP 206451 101.518 cam0 F160W 307.7657 307.5298 19.7510 37.0356 0.7094 0.5780 8.1910
VELA02MRP 206451 101.518 cam1 F160W 305.9219 309.3509 19.7967 33.3863 0.7872 0.5954 -85.3085
VELA02MRP 206451 101.518 cam5 F160W 290.1029 308.6753 19.7941 27.4048 0.9423 0.8190 81.0605
VELA02MRP 206451 101.518 cam6 F160W 294.4909 308.8846 19.9131 29.1655 1.1029 0.6762 76.9030
VELA02MRP 206451 101.518 cam7 F160W 292.3259 310.3732 19.9096 34.4942 0.7713 0.6256 -86.3922
VELA02MRP 206451 101.518 cam8 F160W 291.3007 310.2072 19.9002 33.1702 0.7964 0.6463 -86.0944
VELA02MRP 207815 101.629 cam0 F160W 294.0115 306.8019 19.8505 32.1166 0.8373 0.6391 14.1735
VELA02MRP 207815 101.629 cam1 F160W 303.3579 296.5111 19.7247 24.4124 1.3008 0.8762 30.5561
VELA02MRP 207815 101.629 cam5 F160W 302.9881 296.1204 19.7628 25.9262 1.1632 0.8512 29.9895
VELA02MRP 207815 101.629 cam6 F160W 299.1398 298.5673 19.7281 23.7128 1.2924 0.8397 -8.9499
VELA02MRP 207815 101.629 cam7 F160W 302.5794 297.2649 19.8484 27.9170 1.1100 0.8315 59.9571
VELA02MRP 207815 101.629 cam8 F160W 302.3800 297.1497 19.8394 26.8429 1.1699 0.8405 58.2580
VELA02MRP 208885 101.715 cam0 F160W 302.0833 299.1466 19.8236 32.1485 0.9179 0.6511 11.9560
VELA02MRP 208885 101.715 cam1 F160W 303.8502 301.4942 19.8703 31.2213 1.0004 0.7348 -32.1256
VELA02MRP 208885 101.715 cam5 F160W 296.3521 301.6676 19.8792 32.2007 0.7976 0.8243 27.4308
VELA02MRP 208885 101.715 cam6 F160W 300.4987 302.2438 19.9117 27.8548 1.0637 0.9304 -33.0795
VELA02MRP 208885 101.715 cam7 F160W 296.3569 302.6142 19.9015 34.0060 0.8152 0.8619 56.1040
VELA02MRP 208885 101.715 cam8 F160W 296.1248 302.3892 19.8939 33.7883 0.7825 0.8690 51.9318
VELA02MRP 210049 101.809 cam0 F160W 300.5860 299.0273 19.9483 29.1685 1.2492 0.6464 0.4921
VELA02MRP 210049 101.809 cam1 F160W 301.0245 307.0444 19.9310 33.5318 0.9852 0.7018 -13.7320
VELA02MRP 210049 101.809 cam5 F160W 297.0861 308.3273 19.9306 34.4240 0.9698 0.7348 6.8583
VELA02MRP 210049 101.809 cam6 F160W 300.7503 303.7290 20.0329 24.8144 1.3442 0.9419 15.5672
VELA02MRP 210049 101.809 cam7 F160W 300.8980 304.7699 19.9871 31.4772 1.0590 0.8959 22.6387
VELA02MRP 210049 101.809 cam8 F160W 300.1302 305.9305 19.9912 33.5812 0.9180 0.9032 17.1101
VELA02MRP 211482 101.924 cam0 F160W 190.9144 281.7469 23.6833 16.2225 1.7605 0.6049 45.7429
VELA02MRP 211482 101.924 cam0 F160W 299.0161 300.7655 20.3987 37.0492 0.9607 0.6034 4.4971
VELA02MRP 211482 101.924 cam1 F160W 300.0522 303.2740 20.3221 32.1608 1.1121 0.6733 -19.2622
VELA02MRP 211482 101.924 cam5 F160W 299.4764 305.2814 20.2876 34.7546 1.0027 0.7353 20.1064
VELA02MRP 211482 101.924 cam6 F160W 301.6362 301.6422 20.5115 29.6804 1.3153 0.7395 31.9803
VELA02MRP 211482 101.924 cam6 F160W 390.9951 401.8463 23.0273 12.4570 0.9709 0.8233 88.5098
VELA02MRP 211482 101.924 cam7 F160W 300.5596 309.0573 20.3078 37.1286 0.8888 0.8461 5.8616
VELA02MRP 211482 101.924 cam8 F160W 300.0205 308.2370 20.3191 36.1531 0.8945 0.8478 9.6827
VELA02MRP 212620 102.014 cam0 F160W 166.0243 276.2620 25.2238 52.5112 9.4120 0.4479 38.4824
VELA02MRP 212620 102.014 cam0 F160W 301.2980 303.4637 20.5639 35.2178 1.0873 0.5717 8.4067
VELA02MRP 212620 102.014 cam1 F160W 302.3015 299.1675 20.5896 34.7928 1.1140 0.6306 -8.2974
VELA02MRP 212620 102.014 cam1 F160W 167.3337 374.4064 23.7151 13.3642 2.1934 0.7810 86.2166
VELA02MRP 212620 102.014 cam5 F160W 299.5112 301.4522 20.5027 38.6088 0.9886 0.7291 -10.7533
VELA02MRP 212620 102.014 cam6 F160W 299.5373 299.3757 20.7105 37.2723 0.9255 0.7397 26.9364
VELA02MRP 212620 102.014 cam6 F160W 402.8841 401.4309 23.6946 14.9277 1.1052 0.9691 -34.4605
VELA02MRP 212620 102.014 cam7 F160W 299.4340 297.3221 20.7823 28.6112 1.1755 0.9488 21.2583
VELA02MRP 212620 102.014 cam7 F160W 332.7180 353.1165 21.7830 30.4560 0.9907 0.7404 88.8092
VELA02MRP 212620 102.014 cam8 F160W 299.3627 297.5593 20.7891 27.5174 1.2634 0.9759 74.0940
VELA02MRP 212620 102.014 cam8 F160W 327.9938 351.9988 21.7712 30.4345 1.0766 0.7367 -84.8032
VELA02MRP 213849 102.111 cam0 F160W 205.0211 254.5624 25.0787 28.1301 5.2626 0.9497 -69.2924
